pop_true,shuffle,session_name
0.9160451506246332,0.49504022803349634,ESHOCK_03_LOC1
0.8574831550378683,0.4558133931756072,ESHOCK_04_LOC1
0.79838557295974,0.49143420583295894,ESHOCK_06_LOC1
0.9387187823416218,0.46401332040958065,ESHOCK_07_LOC1
0.9903476383524241,0.45995954079586254,ESHOCK_08_LOC1
0.9601005614096947,0.4836236824887256,ESHOCK_09_LOC1
0.9242677288146475,0.4746933479519973,hamilton_10
0.7825544499512678,0.48758385247994035,hamilton_03
0.8018204978815001,0.5004181126671791,hamilton_04
0.8399112964495423,0.4610448366236264,hamilton_09
0.780520911796666,0.48480844524454436,acute_15
0.973135501816501,0.4952162994727012,acute_16
0.7193953877056322,0.49633631202969736,acute_14
0.9826051560480256,0.4936321721561629,acute_12
0.844396872204136,0.48070973243245857,acute_11
