dropped,score,session_name
SR,0.637038158716525,hamilton_04
SIR,0.8214744893103963,hamilton_04
FF,0.8038362007428231,hamilton_04
SR,0.8293296036545253,hamilton_09
SIR,0.8406817976195672,hamilton_09
FF,0.5344864149917761,hamilton_09
SR,0.6062005326458919,hamilton_31
SIR,0.5261429413260754,hamilton_31
FF,0.6364363005551874,hamilton_31
SR,0.7989537820589684,hamilton_38
SIR,0.6876253651782843,hamilton_38
FF,0.805675101896514,hamilton_38
SR,0.6771662001509894,hamilton_37
SIR,0.7642540523169428,hamilton_37
FF,0.7540841448503974,hamilton_37
SR,0.9360902702377079,hamilton_35
SIR,0.8702966455692301,hamilton_35
FF,0.9455468292448893,hamilton_35
SR,0.8318216836888979,hamilton_36
SIR,0.7406961834698548,hamilton_36
FF,0.850510565876179,hamilton_36
SR,0.8292057208828496,hamilton_32
SIR,0.7328881462943695,hamilton_32
FF,0.8468040947691426,hamilton_32
