id,experiment,exp_neuron,cv-isi,firing_rate,to_baseline,to_troff,depth_um
123,29,10,0.48731792,2.647764022,2.7,0.95,
124,29,11,0.341377944,2.368444855,2.75,1.15,
125,30,2,2.079625368,0.480035797,1.8,0.95,1922
126,30,3,0.625169814,2.120259459,1.75,0.8,2282
127,30,4,0.376861334,10.47169691,1.3,0.75,2330
128,30,6,0.558596253,1.951855519,1.45,0.8,1858
129,30,7,0.605793417,1.218327425,1.55,0.9,1925
130,30,8,0.369608194,4.52938818,2,0.95,1980
131,30,9,0.591630459,1.388810682,1.95,0.9,2029
132,30,10,0.429039568,7.440570752,1.55,0.9,2126
