A,B,mean(A),mean(B),diff,se,T,p-tukey,hedges,neuron_id,diff_inv,p_adj,sig,session_name,neuron_type
1Pre,3Post,-0.09,0.02,-0.11,0.06,-1.99,0.12,-0.11,1975,0.11,0.13,False,hamilton_32,SR
1Pre,3Post,-0.11,-0.87,0.76,0.04,20.12,0.0,1.16,1978,-0.76,0.0,True,hamilton_32,SR
1Pre,3Post,0.15,-0.81,0.96,0.05,20.9,0.0,1.21,1980,-0.96,0.0,True,hamilton_32,SR
1Pre,3Post,-0.3,-0.76,0.46,0.04,12.38,0.0,0.71,1982,-0.46,0.0,True,hamilton_32,SR
1Pre,3Post,-0.23,-0.6,0.37,0.05,8.0,0.0,0.46,1983,-0.37,0.0,True,hamilton_32,SIR
1Pre,3Post,0.0,-0.88,0.89,0.04,22.08,0.0,1.27,1984,-0.89,0.0,True,hamilton_32,SR
1Pre,3Post,-0.01,-0.01,0.0,0.06,0.08,1.0,0.0,1985,-0.0,1.0,False,hamilton_32,SR
1Pre,3Post,0.13,-0.19,0.32,0.06,5.67,0.0,0.33,1987,-0.32,0.0,True,hamilton_32,SIR
1Pre,3Post,-0.68,-0.04,-0.64,0.05,-13.59,0.0,-0.78,1988,0.64,0.0,True,hamilton_32,SIR
1Pre,3Post,0.11,-0.35,0.46,0.06,8.26,0.0,0.48,1989,-0.46,0.0,True,hamilton_32,SIR
1Pre,3Post,-0.49,-0.48,-0.0,0.04,-0.06,1.0,-0.0,1990,0.0,1.0,False,hamilton_32,SR
1Pre,3Post,-0.15,0.46,-0.6,0.05,-11.08,0.0,-0.64,1991,0.6,0.0,True,hamilton_32,SIR
1Pre,3Post,0.12,-0.84,0.97,0.04,21.87,0.0,1.26,1992,-0.97,0.0,True,hamilton_32,SR
1Pre,3Post,-0.15,-0.07,-0.07,0.06,-1.31,0.39,-0.08,1993,0.07,0.42,False,hamilton_32,SR
1Pre,3Post,-0.33,0.26,-0.59,0.06,-10.56,0.0,-0.61,1995,0.59,0.0,True,hamilton_32,SR
1Pre,3Post,-0.32,-0.54,0.22,0.05,4.86,0.0,0.28,1997,-0.22,0.0,True,hamilton_32,SR
1Pre,3Post,0.94,-0.44,1.38,0.04,32.11,0.0,1.85,1998,-1.38,0.0,True,hamilton_32,SR
1Pre,3Post,0.08,-0.61,0.69,0.05,13.47,0.0,0.78,1999,-0.69,0.0,True,hamilton_32,SR
1Pre,3Post,-0.17,0.02,-0.19,0.06,-3.3,0.0,-0.19,2000,0.19,0.0,True,hamilton_32,SIR
1Pre,3Post,0.4,-0.23,0.63,0.06,11.39,0.0,0.66,2001,-0.63,0.0,True,hamilton_32,SIR
1Pre,3Post,-0.67,0.54,-1.21,0.05,-24.33,0.0,-1.4,2002,1.21,0.0,True,hamilton_32,FF
1Pre,3Post,-0.71,0.34,-1.05,0.05,-20.95,0.0,-1.21,2003,1.05,0.0,True,hamilton_32,SR
