neuron_id,n_pre,n_post,Mean_pre,Mean_post,Diff,U,p,sig,neuron_type,session_name,group_name
1031,184.0,16.0,-0.09,0.99,1.08,576.0,0.0,True,FF,hamilton_04,acute_cit
1032,184.0,16.0,-0.2,2.32,2.52,62.0,0.0,True,SR,hamilton_04,acute_cit
1034,184.0,16.0,-0.25,2.84,3.09,4.0,0.0,True,SR,hamilton_04,acute_cit
1035,184.0,16.0,0.02,-0.2,-0.22,1536.0,0.47,False,SR,hamilton_04,acute_cit
1036,184.0,16.0,-0.01,0.12,0.13,1429.0,0.77,False,SIR,hamilton_04,acute_cit
1037,184.0,16.0,0.02,-0.2,-0.22,1794.0,0.2,False,SIR,hamilton_04,acute_cit
1038,184.0,16.0,0.02,-0.25,-0.27,1568.0,0.37,False,SR,hamilton_04,acute_cit
1040,184.0,16.0,-0.13,1.45,1.58,826.5,0.0,True,SIR,hamilton_04,acute_cit
1041,184.0,16.0,-0.13,1.45,1.58,694.0,0.0,True,SIR,hamilton_04,acute_cit
1044,184.0,16.0,0.13,-1.52,-1.65,2743.5,0.0,True,SIR,hamilton_04,acute_cit
1045,184.0,16.0,0.0,-0.04,-0.04,1480.0,0.99,False,SIR,hamilton_04,acute_cit
1046,184.0,16.0,-0.12,1.36,1.48,473.5,0.0,True,SR,hamilton_04,acute_cit
1047,184.0,16.0,0.02,-0.24,-0.26,1576.0,0.35,False,SR,hamilton_04,acute_cit
1048,184.0,16.0,0.01,-0.14,-0.16,1504.0,0.64,False,SIR,hamilton_04,acute_cit
1049,184.0,16.0,-0.09,1.07,1.16,664.5,0.0,True,SR,hamilton_04,acute_cit
1050,184.0,16.0,-0.12,1.36,1.47,573.5,0.0,True,SR,hamilton_04,acute_cit
1051,184.0,16.0,0.01,-0.1,-0.11,1488.0,0.76,False,FF,hamilton_09,acute_cit
1052,184.0,16.0,0.02,-0.27,-0.3,2195.5,0.0,True,SR,hamilton_09,acute_cit
1053,184.0,16.0,-0.23,2.65,2.88,40.0,0.0,True,FF,hamilton_09,acute_cit
1054,184.0,16.0,0.09,-1.03,-1.12,2608.5,0.0,True,FF,hamilton_09,acute_cit
1055,184.0,16.0,0.13,-1.51,-1.64,2711.5,0.0,True,FF,hamilton_09,acute_cit
1056,184.0,16.0,0.01,-0.07,-0.08,1384.0,0.67,False,SIR,hamilton_09,acute_cit
1057,184.0,16.0,0.06,-0.67,-0.72,2771.5,0.0,True,FF,hamilton_09,acute_cit
1058,184.0,16.0,0.05,-0.63,-0.68,2352.0,0.0,True,SR,hamilton_09,acute_cit
1059,184.0,16.0,0.13,-1.46,-1.59,2820.0,0.0,True,SR,hamilton_09,acute_cit
1060,184.0,16.0,0.04,-0.49,-0.54,2531.0,0.0,True,SR,hamilton_09,acute_cit
1061,184.0,16.0,0.02,-0.2,-0.21,2252.5,0.0,True,SR,hamilton_09,acute_cit
1062,184.0,16.0,0.01,-0.15,-0.16,2083.0,0.01,False,SIR,hamilton_09,acute_cit
