A,B,mean(A),mean(B),diff,se,T,p-tukey,hedges,neuron_id,diff_inv,p_adj,sig,session_name,neuron_type
2Shock,3Post,0.13,0.39,-0.27,0.05,-5.0,0.0,-0.29,1868,0.27,0.0,True,hamilton_35,SIR
2Shock,3Post,0.78,-0.58,1.36,0.05,28.66,0.0,1.65,1869,-1.36,0.0,True,hamilton_35,SR
2Shock,3Post,0.42,-0.67,1.1,0.05,21.59,0.0,1.25,1871,-1.1,0.0,True,hamilton_35,SR
2Shock,3Post,0.59,-0.51,1.1,0.05,21.26,0.0,1.23,1872,-1.1,0.0,True,hamilton_35,SR
2Shock,3Post,-0.08,-0.27,0.19,0.06,3.33,0.0,0.19,1873,-0.19,0.0,True,hamilton_35,SIR
2Shock,3Post,0.89,-0.48,1.37,0.05,30.43,0.0,1.76,1874,-1.37,0.0,True,hamilton_35,SIR
2Shock,3Post,0.75,-0.43,1.18,0.05,24.16,0.0,1.39,1875,-1.18,0.0,True,hamilton_35,SR
2Shock,3Post,0.16,-0.69,0.85,0.05,17.11,0.0,0.99,1878,-0.85,0.0,True,hamilton_35,FF
2Shock,3Post,1.11,-0.55,1.66,0.04,46.23,0.0,2.67,1879,-1.66,0.0,True,hamilton_35,SIR
2Shock,3Post,0.92,-0.97,1.9,0.04,51.9,0.0,3.0,1881,-1.9,0.0,True,hamilton_35,SR
2Shock,3Post,0.56,-0.5,1.06,0.05,20.38,0.0,1.18,1882,-1.06,0.0,True,hamilton_35,SR
2Shock,3Post,0.91,-0.57,1.48,0.04,33.58,0.0,1.94,1883,-1.48,0.0,True,hamilton_35,FF
2Shock,3Post,-0.19,-0.2,0.01,0.06,0.24,0.97,0.01,1884,-0.01,0.98,False,hamilton_35,SR
2Shock,3Post,0.54,-0.58,1.12,0.05,21.81,0.0,1.26,1885,-1.12,0.0,True,hamilton_35,FF
2Shock,3Post,0.81,-0.48,1.29,0.05,27.26,0.0,1.57,1887,-1.29,0.0,True,hamilton_35,SIR
2Shock,3Post,0.73,-0.37,1.1,0.05,22.12,0.0,1.28,1888,-1.1,0.0,True,hamilton_35,SIR
2Shock,3Post,0.94,-0.49,1.44,0.04,33.43,0.0,1.93,1889,-1.44,0.0,True,hamilton_35,SIR
2Shock,3Post,-0.67,0.25,-0.92,0.05,-18.17,0.0,-1.05,1890,0.92,0.0,True,hamilton_35,FF
2Shock,3Post,-0.25,0.0,-0.26,0.06,-4.53,0.0,-0.26,1893,0.26,0.0,True,hamilton_35,SR
2Shock,3Post,1.2,-0.69,1.89,0.03,62.38,0.0,3.6,1894,-1.89,0.0,True,hamilton_35,SIR
2Shock,3Post,1.28,-0.73,2.01,0.02,83.38,0.0,4.81,1895,-2.01,0.0,True,hamilton_35,SIR
2Shock,3Post,-0.98,0.49,-1.47,0.04,-35.5,0.0,-2.05,1896,1.47,0.0,True,hamilton_35,FF
2Shock,3Post,0.09,-0.1,0.19,0.06,3.31,0.0,0.19,1897,-0.19,0.0,True,hamilton_35,FF
2Shock,3Post,1.1,-0.58,1.69,0.04,46.73,0.0,2.7,1899,-1.69,0.0,True,hamilton_35,SIR
2Shock,3Post,0.79,-0.42,1.21,0.05,25.17,0.0,1.45,1900,-1.21,0.0,True,hamilton_35,SIR
2Shock,3Post,-0.42,0.06,-0.48,0.05,-8.72,0.0,-0.5,1902,0.48,0.0,True,hamilton_35,SR
2Shock,3Post,-0.92,-0.06,-0.87,0.04,-23.74,0.0,-1.37,1903,0.87,0.0,True,hamilton_35,SR
2Shock,3Post,0.78,-0.62,1.4,0.05,29.73,0.0,1.72,1904,-1.4,0.0,True,hamilton_35,SIR
2Shock,3Post,-1.02,0.25,-1.27,0.04,-33.09,0.0,-1.91,1906,1.27,0.0,True,hamilton_35,SR
2Shock,3Post,0.17,-0.5,0.67,0.05,12.37,0.0,0.71,1908,-0.67,0.0,True,hamilton_35,SR
2Shock,3Post,0.93,-0.6,1.52,0.04,35.3,0.0,2.04,1909,-1.52,0.0,True,hamilton_35,SIR
2Shock,3Post,0.73,-0.26,0.99,0.05,20.04,0.0,1.16,1910,-0.99,0.0,True,hamilton_35,SR
2Shock,3Post,-0.21,-0.37,0.16,0.05,3.13,0.01,0.18,1911,-0.16,0.01,True,hamilton_36,SR
2Shock,3Post,-0.05,-0.73,0.68,0.05,14.98,0.0,0.86,1914,-0.68,0.0,True,hamilton_36,SR
2Shock,3Post,0.43,-0.53,0.95,0.05,17.97,0.0,1.04,1917,-0.95,0.0,True,hamilton_36,SR
2Shock,3Post,0.03,-0.71,0.74,0.05,15.57,0.0,0.9,1919,-0.74,0.0,True,hamilton_36,SR
2Shock,3Post,0.59,0.1,0.49,0.05,10.06,0.0,0.58,1921,-0.49,0.0,True,hamilton_36,SIR
2Shock,3Post,-0.3,-0.35,0.05,0.05,1.06,0.54,0.06,1924,-0.05,0.57,False,hamilton_36,SR
