neuron_id,UMAP-1,UMAP-2
1720,2.1416438,0.897658
1721,0.21005629,0.18971059
1725,1.1038622,1.6889585
1726,0.62456554,0.7324547
1727,2.5809374,1.0334573
1728,0.915635,1.9384804
1733,0.20440036,0.25723174
1735,9.131474,3.232261
1736,2.3533444,4.0519185
1737,2.8682637,1.6621401
1741,1.4051319,0.97457796
1743,1.3614917,1.5772042
1748,2.5707154,2.0516503
1749,-0.71012044,0.51051956
1751,1.2273369,1.3743856
1752,8.44579,3.1131291
1754,0.3664581,4.299709
1755,-0.86901927,1.1545396
1760,2.8752184,6.1517696
1767,-1.8870411,2.7587888
1769,-0.660012,2.6831968
1774,2.2578564,4.9141083
1775,-0.27136892,2.1237075
1792,1.3501204,-0.016248938
1795,2.5480163,0.2070528
1800,3.3216424,0.44231808
1810,3.8721547,5.624471
1811,0.22533369,2.7423625
1812,2.251432,4.028273
1813,2.2559578,4.042623
1814,1.784522,4.508065
1815,2.8179636,2.6742635
1816,1.9893053,4.3784747
1817,-0.094144836,3.0891733
1818,1.2046564,-0.0043820133
1819,4.4473796,1.7055817
1820,7.888948,2.7791603
1821,3.0983787,0.64261883
1822,2.414823,3.3544722
1823,-1.6606487,1.3585432
1824,-2.132086,1.794467
1825,1.3809527,4.0922813
1826,3.7778208,5.1642714
1827,6.2785034,1.7540048
1828,2.1397972,4.2026644
1829,0.46454883,2.9853826
1830,2.8186133,6.0758643
1831,4.033836,5.4482985
1832,0.3964125,3.6429508
1833,9.129879,3.3454726
1834,3.0367677,6.4442787
1835,6.4682493,2.7522457
1836,0.52381444,2.8582838
1839,2.6119933,1.7405614
1841,0.40966925,3.863845
1842,-1.2408649,1.6755326
1843,-0.99630386,0.69086564
1844,6.950647,2.3694127
1846,-1.8725158,1.5776407
1847,3.0173166,3.2694223
1848,-0.035252273,1.875197
1850,-1.3350099,1.1681983
1854,-1.5637891,1.6812732
1856,1.6169299,4.0088525
1857,-0.23461995,1.4208761
1860,-1.4246365,1.3915254
1861,2.4381049,0.6579188
1864,6.999784,2.2045765
1865,-0.20131841,3.4974291
1866,2.5079236,1.0154215
1867,-0.3804583,2.7119374
1868,2.296901,2.7331157
1869,0.37482092,3.9055433
1871,2.309689,2.7756135
1872,-2.258521,2.5680816
1873,6.6749268,1.728646
1874,1.8830914,4.882699
1875,0.18492077,2.2795606
1878,2.9868653,2.6085014
1879,7.7474966,3.0770457
1881,2.4030182,0.6964653
1882,7.9384284,3.116212
1883,3.2455165,6.490128
1885,2.4229045,0.16799378
1887,6.9638233,2.7585166
1888,3.7431247,1.8021841
1890,-0.81461346,0.55296993
1897,9.071618,3.3470154
1899,8.724122,3.1511686
1900,6.5717015,2.8881874
1902,-1.3770564,1.3637745
1903,2.9286447,5.162729
1904,2.4781861,1.0583757
1906,2.1699314,3.523343
1908,3.0254693,0.54276687
1909,2.3684175,0.5656768
1910,0.6248603,3.523788
1911,-0.14458954,3.4924726
1914,2.8425753,5.2337
1917,-0.41500595,2.6485803
1919,0.24006309,3.968161
1921,0.04496417,3.2480743
1924,0.8366167,4.184274
1928,1.3189949,2.8658464
1929,1.066845,4.048111
1930,-0.8586116,2.3341973
1931,-0.13223231,3.7157238
1934,0.7791741,3.4427102
1938,2.753419,6.056883
1940,6.676636,3.0556633
1942,3.337552,3.6134558
1945,3.3523896,4.572738
1946,1.7696043,1.6359515
1947,-0.4160195,0.41043192
1949,4.465553,1.7449784
1950,5.0572004,1.2719207
1951,6.662506,2.8599966
1952,2.6728609,1.3436102
1956,3.7557473,0.5091407
1959,6.8848763,2.8111615
1960,0.47264144,3.4317896
1961,5.3628716,2.2434936
1962,0.6104733,0.25070456
1963,4.092761,5.5125685
1966,5.3367844,2.1946044
1968,3.0020332,3.2595193
1969,3.2387805,4.339487
1970,2.9397235,3.1210015
1973,2.5037513,4.3948684
1974,1.0267606,2.0384915
1978,3.0572333,5.242643
1980,-1.9367464,1.6271446
1982,5.3305135,2.3849993
1983,8.938496,3.317971
1984,1.6890653,4.1776137
1985,2.8975112,5.341235
1987,1.4398086,4.959792
1988,3.0905657,6.4642305
1989,0.18021666,2.4943264
1991,1.47188,4.904234
1992,2.7489276,5.911127
1997,-1.1581641,0.7823779
1998,2.874867,5.19449
1999,1.5197877,3.8251114
2000,3.4907458,5.5286403
2001,4.1619344,5.2983875
2002,-2.2410052,2.5791192
2003,4.0012746,5.4554043
2291,-2.0515406,2.4567575
2293,-2.1938367,2.3899748
2296,2.9018831,5.873347
2298,-2.1097834,2.5068617
2299,1.3621148,4.299885
2301,-1.5598168,2.682621
2306,4.931843,1.2836485
2309,-0.69644743,2.4290369
2316,-0.5967779,0.9449732
2328,0.60842776,0.37643236
2329,9.065801,3.230609
2334,-2.2239606,2.4850953
2335,8.091598,3.0691462
2337,-2.2182126,2.40335
2338,-2.3209202,2.589393
2339,5.4144177,1.3240658
2340,-2.0503592,1.7806541
2344,3.0208857,1.2808275
2347,8.09169,2.6899593
2348,5.3831935,1.4685091
2350,4.2166038,1.8007725
2352,7.0646095,2.4017203
2353,3.122636,1.1663166
