neuron_id,width_min,width_basepost,prom_min,prom_basepre,prom_basepost,has_basepre,basepost_width,min_init,basepre_init,min_term,basepost_term,width_all,width_premin,width_minpost,init,term,width_overall
1,10.8447025206694,27.536723011953313,0.7042290491831915,,0.2631507542211545,False,27.536723011953313,113.65576871292805,,124.50047123359745,153.56099197634725,,,29.0605207427498,113.65576871292805,153.56099197634725,39.9052232634192
4,7.6289787837209815,9.111630174195454,0.7024914620261571,0.15796485081498246,0.4961043707402679,True,9.111630174195454,115.61190158747975,99.4298087545435,123.24088037120073,132.53010834069894,33.100299586155444,23.81107161665723,9.289227969498214,99.4298087545435,132.53010834069894,33.100299586155444
5,10.31191671808483,21.119068282525532,0.6378210688358793,,0.36151870457000235,False,21.119068282525532,113.73004973552817,,124.041966453613,146.40446398068252,,,22.36249752706952,113.73004973552817,146.40446398068252,32.67441424515435
6,15.005192374364015,28.103032091081857,0.7294123008086479,,0.2713478873299745,False,28.103032091081857,110.38124028562198,,125.386432659986,154.9885432063976,,,29.602110546411595,110.38124028562198,154.9885432063976,44.60730292077561
8,14.4878082307319,30.793642737965058,0.7884669577064434,,0.2049924124926671,False,30.793642737965058,112.11173396748814,,126.59954219822004,159.87276542359302,,,33.27322322537299,112.11173396748814,159.87276542359302,47.76103145610489
9,18.9731924984045,38.730947008965984,0.8357176921900435,,0.1357559407549812,False,38.730947008965984,111.87635790699048,,130.84955040539498,175.2989315483724,,,44.449381142977415,111.87635790699048,175.2989315483724,63.422573641381916
12,18.243303801051738,42.1386878533724,0.8529104942775639,0.11822504483058371,0.22456719522895396,True,42.1386878533724,113.24832140907499,76.07553066113655,131.49162521012673,177.37485397437948,101.29932331324292,55.41609454899017,45.88322876425275,76.07553066113655,177.37485397437948,101.29932331324292
17,20.422832548698224,47.40988408366539,0.743536232193171,,0.21043889856752962,False,47.40988408366539,110.06990332598873,,130.49273587468696,185.73578087754802,,,55.24304500286107,110.06990332598873,185.73578087754802,75.66587755155929
18,18.828275157255163,35.55970109552396,0.8505214772185019,0.13282091934662676,0.22738352607098544,True,35.55970109552396,111.71754268547413,68.27025914986406,130.5458178427293,169.639502570716,101.36924342085193,62.27555869286523,39.0936847279867,68.27025914986406,169.639502570716,101.36924342085193
22,21.097600949665946,84.17850528724301,0.8687782626933349,0.05648265214474346,0.13647942795580248,True,84.17850528724301,111.46270573829747,42.20587005783422,132.56030668796342,222.00016031175844,179.7942902539242,90.3544366301292,89.43985362379502,42.20587005783422,222.00016031175844,179.7942902539242
27,24.57306019912332,,0.9390605090663027,,0.0,False,,109.67020697746116,,134.24326717658448,,,,,109.67020697746116,134.24326717658448,24.57306019912332
31,15.41926659414932,37.70579883302295,0.8090616551521185,,0.18257449452808427,False,37.70579883302295,110.76596122524566,,126.18522781939498,166.85169224101273,,,40.666464421617746,110.76596122524566,166.85169224101273,56.08573101576707
32,15.035366206499333,43.963035789518244,0.8172376773520608,,0.21021981005945234,False,43.963035789518244,112.6015300068447,,127.63689621334403,174.21046636054388,,,46.573570147199845,112.6015300068447,174.21046636054388,61.60893635369918
33,17.291168101838466,46.82241602956324,0.7789178218886166,,0.1890974657294735,False,46.82241602956324,108.71462205404686,,126.00579015588532,177.7975193621251,,,51.791729206239765,108.71462205404686,177.7975193621251,69.08289730807823
34,14.969876602803495,20.616966718662894,0.8233910840654977,,0.17897693799007164,False,20.616966718662894,113.6148338557092,,128.5847104585127,152.3360885769784,,,23.75137811846571,113.6148338557092,152.3360885769784,38.721254721269204
35,18.179102831786423,59.726082556743535,0.8991138845729375,0.06294900151293248,0.10312944110797495,True,59.726082556743535,114.02626570383279,69.57970974220109,132.20536853561921,197.18836848251289,127.6086587403118,62.625658793418125,64.98299994689367,69.57970974220109,197.18836848251289,127.6086587403118
36,22.91748023351289,66.38523122265252,0.8150304982975112,,0.1289017221163138,False,66.38523122265252,110.27816281525782,,133.1956430487707,208.27822798210883,,,75.08258493333813,110.27816281525782,208.27822798210883,98.00006516685102
37,22.228170485675378,72.49913939304756,0.9013837057588251,,0.07126428675347596,False,72.49913939304756,112.19712182723038,,134.42529231290575,216.87559560632462,,,82.45030329341887,112.19712182723038,216.87559560632462,104.67847377909425
38,21.0780705703188,59.684236522407815,0.8760420771328076,,0.0976630782814063,False,59.684236522407815,111.83075614702022,,132.90882671733902,202.78002105709854,,,69.87119433975951,111.83075614702022,202.78002105709854,90.94926491007831
39,19.159038292211548,58.442122774506885,0.8769565425541147,,0.092881914410475,False,58.442122774506885,112.63508494828774,,131.7941232404993,202.88334845264265,,,71.08922521214336,112.63508494828774,202.88334845264265,90.24826350435491
40,16.983471335173036,41.14570698028376,0.8967006598602864,0.1170458962879597,0.19410286161410373,True,41.14570698028376,111.73223802328296,63.11348781158371,128.715709358456,172.57698162290302,109.46349381131931,65.60222154687229,43.861272264447024,63.11348781158371,172.57698162290302,109.46349381131931
41,23.50725530143616,59.0161403197952,0.860241737002484,0.053546507655544695,0.1113556321838477,True,59.0161403197952,111.98057834699934,72.41692129099096,135.4878336484355,202.75466617922518,130.33774488823423,63.07091235744454,67.26683253078969,72.41692129099096,202.75466617922518,130.33774488823423
42,18.73785091692126,50.553382936520904,0.8464954531451703,0.10004214660273647,0.1958490140950926,True,50.553382936520904,111.98627560272372,58.80521352473471,130.72412651964498,185.09665265754484,126.29143913281013,71.91891299491027,54.372526137899854,58.80521352473471,185.09665265754484,126.29143913281013
43,22.494460805527567,47.920530743895796,0.8104845557069914,0.07810547089532893,0.1961181545967443,True,47.920530743895796,111.0255848681711,46.34329359969218,133.52004567369866,186.3290572315879,139.98576363189574,87.17675207400649,52.80901155788925,46.34329359969218,186.3290572315879,139.98576363189574
44,30.92637723520157,38.19881833757148,0.778735587663172,,0.2305906871734491,False,38.19881833757148,101.43223565070504,,132.3586128859066,175.51260659505593,,,43.15399370914932,101.43223565070504,175.51260659505593,74.08037094435089
45,20.400274514839154,77.43175589896325,0.8571576374830844,,0.10438348729087199,False,77.43175589896325,110.23434493545564,,130.6346194502948,216.17731492866886,,,85.54269547837407,110.23434493545564,216.17731492866886,105.94296999321323
46,26.236880999588465,,0.9370269315590006,,0.0,False,,112.19523106414556,,138.43211206373402,,,,,112.19523106414556,138.43211206373402,26.236880999588465
47,24.08952316735737,54.38655316009911,0.8710223508819672,,0.09487049982967766,False,54.38655316009911,112.26340914757621,,136.35293231493358,206.42021198061238,,,70.0672796656788,112.26340914757621,206.42021198061238,94.15680283303617
48,18.05346484177933,66.36553010518486,0.9038171416008407,0.3654092018358003,0.2244595537103271,True,66.36553010518486,115.36497447893267,106.31278976179881,133.418439320712,199.81880960459128,93.50601984279247,27.105649558913186,66.40037028387928,106.31278976179881,199.81880960459128,93.50601984279247
49,21.56274094445267,58.28342902359756,0.9082351860447401,,0.07153087837410899,False,58.28342902359756,113.62298376176521,,135.18572470621788,204.24501484181542,,,69.05929013559754,113.62298376176521,204.24501484181542,90.6220310800502
50,17.584300394605748,59.822223370132434,0.8255391739489997,,0.14659622113920645,False,59.822223370132434,113.86720824349615,,131.4515086381019,197.38447009524947,,,65.93296145714757,113.86720824349615,197.38447009524947,83.51726185175332
51,17.894202438794238,65.62521750964282,0.8007673433072316,,0.16850050507349734,False,65.62521750964282,111.4436133365959,,129.33781577539014,201.16505632314988,,,71.82724054775974,111.4436133365959,201.16505632314988,89.72144298655398
52,19.578943938713266,51.77833229992734,0.8119079731164859,,0.148488079377063,False,51.77833229992734,114.37683177859894,,133.9557757173122,194.7179631734881,,,60.762187456175894,114.37683177859894,194.7179631734881,80.34113139488916
54,19.024626367822606,51.31543403780904,0.8084239892087872,,0.13151278343393058,False,51.31543403780904,114.18340023277648,,133.20802660059908,194.8938386692757,,,61.685812068676626,114.18340023277648,194.8938386692757,80.71043843649923
55,18.58777141738277,61.755598598609595,0.8092827388332217,,0.14511236447513853,False,61.755598598609595,113.53695403299552,,132.1247254503783,201.5218688602077,,,69.3971434098294,113.53695403299552,201.5218688602077,87.98491482721217
57,16.370704360482407,14.543149408520037,0.6779833054117502,,0.3454624234117366,False,14.543149408520037,112.07924662917783,,128.44995098966024,144.6524130600544,,,16.202462070394176,112.07924662917783,144.6524130600544,32.57316643087658
58,14.832522453395569,48.22523265548773,0.7990037004673919,,0.19523245737648376,False,48.22523265548773,110.64455796463217,,125.47708041802774,176.26366449379947,,,50.78658407577173,110.64455796463217,176.26366449379947,65.6191065291673
59,16.38859845777162,55.479418641900395,0.775005380730854,0.2122004595811824,0.3381081348289464,True,55.479418641900395,115.2538292180424,102.59932603327216,131.64242767581402,190.96703304303554,88.36770700976338,29.043101642541856,59.32460536722152,102.59932603327216,190.96703304303554,88.36770700976338
60,15.220770994086479,71.47143552182854,0.9429997520179942,,0.09148960354747848,False,71.47143552182854,113.9007976145547,,129.12156860864118,204.07349861918374,,,74.95193001054255,113.9007976145547,204.07349861918374,90.17270100462903
62,16.57516529154691,48.854965522109694,0.8935193358361486,,0.11185412810737128,False,48.854965522109694,110.75395029497821,,127.32911558652512,180.37175028159072,,,53.0426346950656,110.75395029497821,180.37175028159072,69.61779998661251
63,13.807636421086215,68.30581081713146,0.8345944453188835,,0.1532595604343543,False,68.30581081713146,111.87417717162499,,125.68181359271121,196.14452580554368,,,70.46271221283247,111.87417717162499,196.14452580554368,84.27034863391869
64,8.814532346632788,27.5501040780254,0.5753708895662779,,0.4055887381249168,False,27.5501040780254,115.04900585917258,,123.86353820580537,152.7023913114454,,,28.83885310564004,115.04900585917258,152.7023913114454,37.65338545227283
69,13.011136087369167,39.64560295090513,0.7081394699248289,,0.290759780585783,False,39.64560295090513,113.32427554574738,,126.33541163311655,168.10065487799162,,,41.765243244875066,113.32427554574738,168.10065487799162,54.77637933224423
70,13.19192826776424,35.33179344715214,0.758823501998568,,0.22663117007462596,False,35.33179344715214,112.27859349387394,,125.47052176163818,163.50788350644342,,,38.03736174480524,112.27859349387394,163.50788350644342,51.22929001256948
73,18.932681845083465,43.734379659577684,0.8685267912400791,0.3983123496735175,0.18969493589715725,True,43.734379659577684,122.60114127337624,113.25198951233385,141.5338231184597,186.19341452635982,72.94142501402597,28.281833606125858,44.65959140790011,113.25198951233385,186.19341452635982,72.94142501402597
74,14.567182031609676,61.13614065413989,0.8888292057808624,,0.12351219927952561,False,61.13614065413989,112.02590528478308,,126.59308731639275,193.20248566814047,,,66.60939835174771,112.02590528478308,193.20248566814047,81.17658038335739
75,20.159744892874755,53.838415029030614,0.9519489587002046,,0.0558588245987337,False,53.838415029030614,113.1999288727767,,133.35967376565145,197.28223551106012,,,63.92256174540867,113.1999288727767,197.28223551106012,84.08230663828343
76,14.49908318585176,43.48685418336689,0.828645567972432,,0.15927388729762948,False,43.48685418336689,113.84987085531469,,128.34895404116645,175.52465160780378,,,47.175697566637325,113.84987085531469,175.52465160780378,61.674780752489085
77,14.399153573703586,41.169402228487655,0.8885476796047701,,0.126621053080332,False,41.169402228487655,113.04627754722863,,127.44543112093221,171.56380152549707,,,44.11837040456486,113.04627754722863,171.56380152549707,58.51752397826844
