neuron_id,cv_isi,cv_isi_burst,frac_bursts,is_burst,mean_firing_rate,median_burst_interval
152,0.13397278156920783,0.09706165871388839,4.5930797534054895,5.385164807134504,0.17991621240899547,1.2302633492420991
153,0.09133399978340578,0.09958376172971889,0.5428301662311564,0.9354143466934854,0.31130721008515577,0.23936867633249065
154,0.1612680501835758,0.07808478079029432,6.03649474106469,7.681145747868609,0.24181844741376013,1.61435042264896
155,0.5037786995182434,0.4069563982849048,2.014356249806272,2.7516228977511754,0.3933769500378499,0.7471613273066094
156,0.11779880346261333,0.12063970123482383,1.1327665855003843,3.7416573867739418,0.33450203139555856,0.32593328640740765
157,0.16026961201269216,0.1418965585463551,1.717898880534455,7.681145747868609,0.17770998412950906,0.40471143100678786
158,0.36687840536865013,0.37806658187147396,2.855467562817277,4.358898943540672,0.5535670993291789,1.0582178497152739
159,0.2687627898446148,0.4866378364790705,0.8382975635445788,0.6625891564490793,1.3585569726620375,0.5560967704195989
161,0.15654581997568176,0.14145623841407853,5.303450041939231,5.385164807134503,0.6100928718033466,2.221581636584858
162,0.6754154188714413,0.7164259787002456,1.4237772286825456,1.3060943124220303,1.2129053427375485,0.95742079380599
163,0.49998113463097865,0.5187984090043537,2.7350395755087717,5.196152422706633,2.2299055625532267,1.0775683989219493
164,0.04584294727055895,0.11157094956886789,0.4444578267520102,0.2672612419124244,0.40129561619772103,0.17354684043217794
166,0.4764725353804895,0.3817080783098887,3.472366381239134,3.605551275463989,0.4743133797046469,2.4835180472992935
167,0.26321185469003344,0.25695145158144134,1.4988427224009546,,0.17941294628742244,1.0421989190482552
176,0.11309857905882707,0.08861658163852296,0.387682521699799,0.7337993857053428,0.2073060294734663,0.18366574201499025
177,0.2699679914679611,0.24841076275943896,1.3811297404174192,3.3166247903554,0.509244461992093,0.3923571130675495
178,0.35445330976547423,0.3536476855832151,1.316878647901197,1.5811388300841898,1.3212318170918054,0.5885297398225116
179,0.32119752149398106,0.32550467989465753,0.7542149922974908,4.690415759823431,0.3454641086323312,0.5567732892686085
180,0.7622508112692447,0.7637884371189129,6.11918658356194,6.999999999999999,1.0855207359680767,5.016845254160858
181,0.2196500625202903,0.22072216653573384,0.2786354453273521,0.4588314677411235,0.26032576665792556,0.2752788771697932
182,0.2418379019291735,0.4454611393157316,1.729960465797833,3.3166247903554,4.58223737204961,0.4654767775471516
184,0.9884727397239149,1.0468037325166815,1.876009254047275,4.000000000000001,1.4622975764792434,1.7124732680016905
185,0.2806412866924996,0.28999839283079215,0.965547538307036,0.9198662110078,0.5786192881194531,0.40577797637398216
1011,0.15071022816554427,0.1742621790159934,0.9269827144931588,,0.5684678930420783,0.6179433934815812
1013,0.7899962358765827,0.7785827769094031,4.587672243265427,,0.4481080947727227,4.495560661096631
1014,0.8733260702678985,0.8739423189530122,6.557438524302001,,1.0148640304657348,6.557438524302001
1015,0.5327306567646226,0.47364474404617735,4.176737345763509,4.898979485566357,0.5249083995287752,3.6203585036548622
1016,0.33070364439773287,0.305284925897755,5.0,,0.5203624501997477,4.999999999999999
1018,0.3561016965714655,0.3561016965714655,,,0.40687287249479026,
1019,0.1265011795146777,0.14451878001886068,1.142972621474901,,0.5943549576185759,1.0330540124657157
1020,0.882685084581989,0.8835361122443327,2.1152256340134836,2.563479777846623,1.4140172054315567,2.247194567732989
1021,0.044381006349776056,0.0542835728234765,0.3106148316529405,0.3333333333333333,0.261809448769089,0.13522683077474015
1022,0.28452497420650447,0.28493871330744036,1.9026349380749519,,0.6893780515766162,1.6845979310522567
1024,0.056675592491659356,0.055140967074856814,0.5168643177321197,1.2683436648534627,0.3327794289754923,0.22075481874902653
1025,0.3327879127017831,0.3157174711326467,4.161135073280713,7.681145747868609,0.4202657235168922,1.9628873761607082
1026,0.21967014504460405,0.18250883000127202,0.8479057724236945,3.0000000000000004,0.3826735860288791,0.5185677913711537
1027,0.2075221517169824,0.10072192318722083,1.3023820022788044,1.8126539343499313,0.6044095607626144,0.9629982594341975
1028,0.3611381548390344,0.3634528796733477,5.117728275597915,7.681145747868609,0.495151239710915,1.8662396791981952
1029,0.22255109710508322,0.18252795664069688,0.45399617281038607,0.5259237061407778,0.29040418117237465,0.26625151050191076
1030,0.05690988567008243,0.08145700926474966,0.7246735379799387,1.4142135623730954,0.5037987814755448,0.2571595802531057
1031,0.4725835287038675,0.4525730088210058,1.7131230159307433,,0.7577477956833166,1.359490310539996
