A,B,mean(A),mean(B),diff,se,T,p-tukey,hedges,neuron_id,diff_inv,p_adj,sig,session_name,neuron_type
1Pre,2Shock,-0.01,0.74,-0.75,0.05,-16.13,0.0,-0.93,1815,0.75,0.0,True,hamilton_37,SR
1Pre,2Shock,-0.03,0.6,-0.63,0.05,-12.37,0.0,-0.71,1816,0.63,0.0,True,hamilton_37,SR
1Pre,2Shock,-0.14,0.32,-0.47,0.06,-8.34,0.0,-0.48,1817,0.47,0.0,True,hamilton_37,SR
1Pre,2Shock,-0.51,-0.47,-0.04,0.04,-0.91,0.63,-0.05,1818,0.04,0.65,False,hamilton_37,SIR
1Pre,2Shock,-0.09,0.79,-0.89,0.05,-19.42,0.0,-1.12,1819,0.89,0.0,True,hamilton_37,SIR
1Pre,2Shock,-0.33,0.78,-1.11,0.05,-23.19,0.0,-1.34,1820,1.11,0.0,True,hamilton_37,SR
1Pre,2Shock,0.38,-0.43,0.81,0.05,14.93,0.0,0.86,1821,-0.81,0.0,True,hamilton_37,SIR
1Pre,2Shock,0.11,0.68,-0.58,0.05,-12.55,0.0,-0.72,1822,0.58,0.0,True,hamilton_37,SR
1Pre,2Shock,-0.09,0.96,-1.05,0.04,-27.64,0.0,-1.59,1823,1.05,0.0,True,hamilton_37,SR
1Pre,2Shock,-0.08,0.89,-0.97,0.04,-23.3,0.0,-1.34,1824,0.97,0.0,True,hamilton_37,SR
1Pre,2Shock,0.28,0.88,-0.61,0.03,-20.2,0.0,-1.17,1825,0.61,0.0,True,hamilton_37,SR
1Pre,2Shock,-0.36,1.08,-1.44,0.04,-39.99,0.0,-2.31,1826,1.44,0.0,True,hamilton_37,SR
1Pre,2Shock,0.11,0.4,-0.29,0.05,-5.41,0.0,-0.31,1827,0.29,0.0,True,hamilton_37,SIR
1Pre,2Shock,0.1,0.38,-0.28,0.05,-5.24,0.0,-0.3,1828,0.28,0.0,True,hamilton_37,SIR
1Pre,2Shock,0.09,0.41,-0.31,0.05,-5.87,0.0,-0.34,1829,0.31,0.0,True,hamilton_37,SIR
1Pre,2Shock,-0.29,0.48,-0.77,0.05,-14.19,0.0,-0.82,1830,0.77,0.0,True,hamilton_37,SIR
1Pre,2Shock,-0.2,0.6,-0.8,0.05,-15.33,0.0,-0.88,1831,0.8,0.0,True,hamilton_37,SR
1Pre,2Shock,-0.02,0.83,-0.84,0.04,-19.63,0.0,-1.13,1832,0.84,0.0,True,hamilton_37,SR
1Pre,2Shock,0.02,0.52,-0.51,0.05,-9.75,0.0,-0.56,1833,0.51,0.0,True,hamilton_37,SIR
1Pre,2Shock,0.42,0.07,0.35,0.05,6.55,0.0,0.38,1834,-0.35,0.0,True,hamilton_37,SIR
1Pre,2Shock,-0.3,1.14,-1.44,0.03,-45.53,0.0,-2.63,1835,1.44,0.0,True,hamilton_37,FF
1Pre,2Shock,-0.11,0.46,-0.57,0.05,-10.56,0.0,-0.61,1836,0.57,0.0,True,hamilton_37,SIR
1Pre,2Shock,0.21,0.39,-0.18,0.05,-3.47,0.0,-0.2,1837,0.18,0.0,True,hamilton_37,SIR
1Pre,2Shock,-0.03,0.5,-0.53,0.05,-9.99,0.0,-0.58,1839,0.53,0.0,True,hamilton_35,FF
1Pre,2Shock,0.01,0.63,-0.61,0.05,-12.39,0.0,-0.72,1841,0.61,0.0,True,hamilton_35,SR
1Pre,2Shock,-0.61,1.22,-1.83,0.03,-62.24,0.0,-3.59,1842,1.83,0.0,True,hamilton_35,SIR
1Pre,2Shock,0.54,-0.1,0.63,0.05,11.99,0.0,0.69,1843,-0.63,0.0,True,hamilton_35,FF
1Pre,2Shock,-0.88,0.88,-1.76,0.04,-43.76,0.0,-2.52,1844,1.76,0.0,True,hamilton_35,FF
1Pre,2Shock,-0.05,0.61,-0.65,0.05,-12.89,0.0,-0.74,1846,0.65,0.0,True,hamilton_35,SR
1Pre,2Shock,-0.23,0.53,-0.76,0.05,-14.17,0.0,-0.82,1847,0.76,0.0,True,hamilton_35,SR
1Pre,2Shock,-0.79,1.26,-2.04,0.03,-80.51,0.0,-4.65,1848,2.04,0.0,True,hamilton_35,SR
1Pre,2Shock,-0.35,1.1,-1.44,0.04,-41.1,0.0,-2.37,1850,1.44,0.0,True,hamilton_35,SR
1Pre,2Shock,-0.19,0.93,-1.12,0.04,-26.87,0.0,-1.55,1854,1.12,0.0,True,hamilton_35,SR
1Pre,2Shock,-0.32,1.02,-1.35,0.04,-34.49,0.0,-1.99,1856,1.35,0.0,True,hamilton_35,SR
1Pre,2Shock,-0.04,0.38,-0.42,0.06,-7.71,0.0,-0.44,1857,0.42,0.0,True,hamilton_35,SIR
1Pre,2Shock,0.07,0.71,-0.64,0.05,-13.9,0.0,-0.8,1858,0.64,0.0,True,hamilton_35,FF
1Pre,2Shock,-0.11,0.61,-0.72,0.05,-14.04,0.0,-0.81,1860,0.72,0.0,True,hamilton_35,SR
1Pre,2Shock,0.91,-0.05,0.96,0.04,24.01,0.0,1.39,1861,-0.96,0.0,True,hamilton_35,SR
1Pre,2Shock,-0.53,1.21,-1.74,0.03,-59.31,0.0,-3.42,1864,1.74,0.0,True,hamilton_35,SIR
1Pre,2Shock,-0.44,0.93,-1.38,0.04,-31.78,0.0,-1.83,1865,1.38,0.0,True,hamilton_35,SR
1Pre,2Shock,-0.58,1.28,-1.86,0.02,-75.93,0.0,-4.38,1866,1.86,0.0,True,hamilton_35,SR
1Pre,2Shock,-0.06,0.73,-0.79,0.05,-16.82,0.0,-0.97,1867,0.79,0.0,True,hamilton_35,SR
1Pre,2Shock,-0.52,0.13,-0.64,0.05,-12.06,0.0,-0.7,1868,0.64,0.0,True,hamilton_35,SIR
1Pre,2Shock,-0.2,0.78,-0.98,0.05,-20.7,0.0,-1.19,1869,0.98,0.0,True,hamilton_35,SR
1Pre,2Shock,0.24,0.42,-0.18,0.05,-3.56,0.0,-0.21,1871,0.18,0.0,True,hamilton_35,SR
1Pre,2Shock,-0.09,0.59,-0.68,0.05,-13.12,0.0,-0.76,1872,0.68,0.0,True,hamilton_35,SR
1Pre,2Shock,0.35,-0.08,0.44,0.06,7.8,0.0,0.45,1873,-0.44,0.0,True,hamilton_35,SIR
1Pre,2Shock,-0.4,0.89,-1.29,0.04,-28.67,0.0,-1.65,1874,1.29,0.0,True,hamilton_35,SIR
1Pre,2Shock,-0.33,0.75,-1.08,0.05,-22.2,0.0,-1.28,1875,1.08,0.0,True,hamilton_35,SR
1Pre,2Shock,0.54,0.16,0.38,0.05,7.65,0.0,0.44,1878,-0.38,0.0,True,hamilton_35,FF
1Pre,2Shock,-0.55,1.11,-1.66,0.04,-46.23,0.0,-2.67,1879,1.66,0.0,True,hamilton_35,SIR
1Pre,2Shock,0.05,0.92,-0.87,0.04,-23.95,0.0,-1.38,1881,0.87,0.0,True,hamilton_35,SR
1Pre,2Shock,-0.05,0.56,-0.61,0.05,-11.77,0.0,-0.68,1882,0.61,0.0,True,hamilton_35,SR
1Pre,2Shock,-0.34,0.91,-1.24,0.04,-28.31,0.0,-1.63,1883,1.24,0.0,True,hamilton_35,FF
1Pre,2Shock,0.4,-0.19,0.59,0.06,10.58,0.0,0.61,1884,-0.59,0.0,True,hamilton_35,SR
1Pre,2Shock,0.04,0.54,-0.5,0.05,-9.65,0.0,-0.56,1885,0.5,0.0,True,hamilton_35,FF
1Pre,2Shock,-0.33,0.81,-1.14,0.05,-24.08,0.0,-1.39,1887,1.14,0.0,True,hamilton_35,SIR
1Pre,2Shock,-0.36,0.73,-1.09,0.05,-22.04,0.0,-1.27,1888,1.09,0.0,True,hamilton_35,SIR
1Pre,2Shock,-0.45,0.94,-1.4,0.04,-32.53,0.0,-1.88,1889,1.4,0.0,True,hamilton_35,SIR
1Pre,2Shock,0.42,-0.67,1.09,0.05,21.51,0.0,1.24,1890,-1.09,0.0,True,hamilton_35,FF
1Pre,2Shock,0.25,-0.25,0.51,0.06,8.97,0.0,0.52,1893,-0.51,0.0,True,hamilton_35,SR
1Pre,2Shock,-0.51,1.2,-1.71,0.03,-56.49,0.0,-3.26,1894,1.71,0.0,True,hamilton_35,SIR
1Pre,2Shock,-0.56,1.28,-1.84,0.02,-76.36,0.0,-4.41,1895,1.84,0.0,True,hamilton_35,SIR
1Pre,2Shock,0.5,-0.98,1.48,0.04,35.78,0.0,2.06,1896,-1.48,0.0,True,hamilton_35,FF
1Pre,2Shock,0.01,0.09,-0.08,0.06,-1.42,0.33,-0.08,1897,0.08,0.35,False,hamilton_35,FF
1Pre,2Shock,-0.52,1.1,-1.62,0.04,-44.93,0.0,-2.59,1899,1.62,0.0,True,hamilton_35,SIR
1Pre,2Shock,-0.37,0.79,-1.16,0.05,-24.15,0.0,-1.39,1900,1.16,0.0,True,hamilton_35,SIR
1Pre,2Shock,0.36,-0.42,0.78,0.05,14.22,0.0,0.82,1902,-0.78,0.0,True,hamilton_35,SR
1Pre,2Shock,0.98,-0.92,1.9,0.04,52.13,0.0,3.01,1903,-1.9,0.0,True,hamilton_35,SR
1Pre,2Shock,-0.16,0.78,-0.94,0.05,-19.93,0.0,-1.15,1904,0.94,0.0,True,hamilton_35,SIR
1Pre,2Shock,0.76,-1.02,1.78,0.04,46.39,0.0,2.68,1906,-1.78,0.0,True,hamilton_35,SR
1Pre,2Shock,0.32,0.17,0.15,0.05,2.83,0.01,0.16,1908,-0.15,0.01,True,hamilton_35,SR
1Pre,2Shock,-0.33,0.93,-1.26,0.04,-29.2,0.0,-1.69,1909,1.26,0.0,True,hamilton_35,SIR
1Pre,2Shock,-0.47,0.73,-1.19,0.05,-24.21,0.0,-1.4,1910,1.19,0.0,True,hamilton_35,SR
1Pre,2Shock,0.58,-0.21,0.8,0.05,15.16,0.0,0.87,1911,-0.8,0.0,True,hamilton_36,SR
1Pre,2Shock,0.78,-0.05,0.83,0.05,18.28,0.0,1.05,1914,-0.83,0.0,True,hamilton_36,SR
1Pre,2Shock,0.1,0.43,-0.33,0.05,-6.14,0.0,-0.35,1917,0.33,0.0,True,hamilton_36,SR
1Pre,2Shock,0.68,0.03,0.65,0.05,13.55,0.0,0.78,1919,-0.65,0.0,True,hamilton_36,SR
1Pre,2Shock,-0.69,0.59,-1.28,0.05,-25.93,0.0,-1.5,1921,1.28,0.0,True,hamilton_36,SIR
1Pre,2Shock,0.65,-0.3,0.95,0.05,18.57,0.0,1.07,1924,-0.95,0.0,True,hamilton_36,SR
1Pre,2Shock,0.27,0.28,-0.02,0.05,-0.29,0.95,-0.02,1928,0.02,0.97,False,hamilton_36,SR
1Pre,2Shock,0.16,0.28,-0.13,0.05,-2.33,0.05,-0.13,1929,0.13,0.06,False,hamilton_36,SR
