Method,MI
Observed,0.39742688829739986
Observed,0.3790514607852125
Observed,0.41370028683438864
Observed,0.40322958755002497
Observed,0.39362508135735247
Observed,0.33777717324876294
Observed,0.41697451623986526
Observed,0.4131663233830896
Observed,0.414409530443699
Observed,0.394291105815781
Observed,0.41045141603850116
Observed,0.5292327436496153
Observed,0.4318806552461164
Observed,0.4140056192327213
Observed,0.3393738950174999
Observed,0.37141862741968423
Observed,0.40550732882788354
Observed,0.37354203343075765
Observed,0.4205529257207077
Observed,0.4727168157009374
Observed,0.42648303579355773
Observed,0.39730004952429154
Observed,0.377114931331068
Observed,0.345838284655811
Observed,0.3899660289539274
Observed,0.4610163194657722
Observed,0.3804463133550331
Observed,0.38295320180352616
Observed,0.40590933671108875
Observed,0.5109733246941359
Observed,0.40307540398132385
Observed,0.37459755395780614
Observed,0.4428774033546647
Observed,0.46208249326805745
Observed,0.4110042708985762
Observed,0.4045536499898103
Observed,0.2888678050729435
Observed,0.38474389834147726
Observed,0.44311879203288135
Observed,0.4386645739437954
Observed,0.40963635723577335
Observed,0.447864012234242
Observed,0.3855703396332461
Observed,0.37056938037291604
Observed,0.4044993118159614
Observed,0.4790433458050813
Observed,0.39380098855939555
Observed,0.39628873266113473
Observed,0.416415648441915
Observed,0.4149030252659611
Observed,0.38970735777795584
Observed,0.3599200082598714
Observed,0.3942324166022626
Observed,0.3357727128504989
Observed,0.40869162680541005
Observed,0.43752213063613243
Observed,0.3772068733360218
Observed,0.4181700254183385
Observed,0.39145703331539716
Observed,0.41485348854137644
Observed,0.37386579043938223
Observed,0.3521507260182562
Observed,0.3956580567817102
Observed,0.39538561520446075
Observed,0.4453304823852553
Observed,0.40094277502750286
Observed,0.4139624435498562
Observed,0.39492676480128563
Observed,0.41331225563952984
Observed,0.39619884485705514
Observed,0.4107403506568929
Observed,0.35430295288004005
Observed,0.43910865990794756
Observed,0.3474604464132164
Observed,0.5039007298411518
Observed,0.41211177430342294
Observed,0.4380839474370299
Observed,0.3895125566005181
Observed,0.31223374856392794
Observed,0.3672522918644059
Observed,0.3925077818106946
Observed,0.42549924011682644
Observed,0.3534458264205693
Observed,0.43480913990696324
Observed,0.43229074320664734
Observed,0.39669373904813976
Observed,0.3333932960880626
Observed,0.4434910856320965
Observed,0.4472102154309459
