neuron_id,n_pre,n_post,Mean_pre,Mean_post,Diff,U,p,neuron_type,session_name,group_name
1011,10.0,19.0,0.3172524859188017,-0.1669749925888427,-0.48422747850764436,116.0,0.34690757043423925,SR,hamilton_10,acute_cit
1013,10.0,19.0,0.8687324725090605,-0.4572276171100322,-1.3259600896190926,164.5,0.0015437709395057131,SR,hamilton_10,acute_cit
1014,10.0,19.0,0.15782103664090802,-0.0830637034952147,-0.2408847401361227,67.0,0.20624163025391018,SIR,hamilton_10,acute_cit
1015,10.0,19.0,0.721923783737265,-0.37995988617750803,-1.101883669914773,154.0,0.007271141028600631,SR,hamilton_10,acute_cit
1016,10.0,19.0,0.35906624935876585,-0.1889822365046136,-0.5480484858633794,104.5,0.19160110675259334,SR,hamilton_10,acute_cit
1019,10.0,19.0,0.59880674929495,-0.31516144699734194,-0.913968196292292,167.5,0.0009531804611673883,SIR,hamilton_10,acute_cit
1020,10.0,19.0,-0.5537324282627019,0.29143812013826415,0.845170548400966,10.5,0.00011589101304791016,SIR,hamilton_10,acute_cit
1021,10.0,19.0,0.5636749550291972,-0.2966710289627355,-0.8603459839919327,145.5,0.021749026147635936,FF,hamilton_03,acute_sal
1022,10.0,19.0,-0.9077085720966274,0.4777413537350668,1.3854499258316941,20.0,0.0006291747725348842,SIR,hamilton_03,acute_sal
1024,10.0,19.0,0.8192687290890088,-0.4311940679415835,-1.2504627970305924,166.0,0.0012174423114467974,SR,hamilton_03,acute_sal
1025,10.0,19.0,0.04136257662633737,-0.021769777171756093,-0.06313235379809345,78.5,0.4624832116442731,SR,hamilton_03,acute_sal
1026,10.0,19.0,0.7009452891217901,-0.36891857322199495,-1.069863862343785,145.0,0.023100080315880404,SR,hamilton_03,acute_sal
1027,10.0,19.0,0.0362065849422867,-0.019056097338045745,-0.055262682280332445,78.0,0.44895091154788425,SR,hamilton_03,acute_sal
1028,10.0,19.0,0.9586750957643485,-0.504565839875973,-1.4632409356403215,164.5,0.0014986595495963353,SR,hamilton_03,acute_sal
1029,10.0,19.0,0.974728937449561,-0.5130152302366111,-1.4877441676861722,155.0,0.006332525190874059,FF,hamilton_03,acute_sal
1030,10.0,19.0,0.41363685832444325,-0.21770360964444385,-0.6313404679688871,87.0,0.7306895718551972,SR,hamilton_03,acute_sal
1031,10.0,19.0,0.6628815986591962,-0.34888505192589303,-1.011766650585089,159.0,0.003560798121791152,FF,hamilton_04,acute_cit
1032,10.0,19.0,0.5442088577043676,-0.286425714581246,-0.8306345722856135,141.0,0.03673362409682334,SR,hamilton_04,acute_cit
1034,10.0,19.0,0.33845683062740406,-0.17813517401442325,-0.5165920046418273,97.5,0.896868972014327,SR,hamilton_04,acute_cit
1035,10.0,19.0,0.4284313725490196,-0.2254901960784314,-0.653921568627451,114.0,0.0534019121428989,SR,hamilton_04,acute_cit
1036,10.0,19.0,0.39028452786278095,-0.20541290940146367,-0.5956974372642446,114.0,0.0534019121428989,SIR,hamilton_04,acute_cit
1037,10.0,19.0,0.4257663912241368,-0.22408757432849308,-0.6498539655526299,102.0,0.6504747921545313,SIR,hamilton_04,acute_cit
1038,10.0,19.0,0.3654277892867913,-0.19233041541410067,-0.557758204700892,114.0,0.0534019121428989,SR,hamilton_04,acute_cit
1040,10.0,19.0,-0.06499423302067069,0.0342074910635109,0.09920172408418158,94.5,1.0,SIR,hamilton_04,acute_cit
1041,10.0,19.0,-0.5234154635281146,0.27548182290953405,0.7988972864376487,55.0,0.032561290073452785,SIR,hamilton_04,acute_cit
1044,10.0,19.0,0.40353907079245205,-0.2123889846276064,-0.6159280554200585,74.0,0.29222622472069404,SIR,hamilton_04,acute_cit
1045,10.0,19.0,0.34022091396758725,-0.179063638930309,-0.5192845528978962,88.0,0.704962341163027,SIR,hamilton_04,acute_cit
1046,10.0,19.0,0.3380664030288054,-0.1779296858046344,-0.5159960888334398,54.0,0.05386707433753435,SR,hamilton_04,acute_cit
1047,10.0,19.0,0.10886539283097227,-0.05729757517419596,-0.16616296800516822,75.0,0.2910041794135789,SR,hamilton_04,acute_cit
1048,10.0,19.0,-0.332744578090111,0.1751287253105848,0.5078733034006958,82.5,0.4028752007017039,SIR,hamilton_04,acute_cit
1049,10.0,19.0,-0.4373693275095868,0.23019438289978253,0.6675637104093693,54.0,0.045286090247956254,SR,hamilton_04,acute_cit
1050,10.0,19.0,0.2245635809866157,-0.11819135841400825,-0.34275493940062396,70.5,0.21790323129113354,SR,hamilton_04,acute_cit
1051,10.0,19.0,-0.5035308597340706,0.2650162419653002,0.7685471016993708,44.0,0.020172988444143117,FF,hamilton_09,acute_cit
1052,10.0,19.0,0.38973367714325435,-0.20512298797013392,-0.5948566651133883,106.0,0.6297562391020957,SR,hamilton_09,acute_cit
1053,10.0,19.0,-1.0176144785337544,0.5355865676493442,1.5532010461830987,0.0,1.4442372067123618e-05,FF,hamilton_09,acute_cit
1054,10.0,19.0,0.3068434190604529,-0.16149653634760686,-0.4683399554080598,121.0,0.24181881584597165,FF,hamilton_09,acute_cit
1055,10.0,19.0,0.5110751957440083,-0.2689869451284254,-0.7800621408724338,137.0,0.056860043641520655,FF,hamilton_09,acute_cit
1056,10.0,19.0,-0.1396375974728004,0.07349347235410535,0.21313106982690577,63.0,0.14836826878508821,SIR,hamilton_09,acute_cit
1057,10.0,19.0,1.0381102323476115,-0.5463738064987427,-1.5844840388463541,190.0,1.4442372067123618e-05,FF,hamilton_09,acute_cit
1058,10.0,19.0,0.7244497819322975,-0.3812893589117356,-1.1057391408440331,153.0,0.008292878094728269,SR,hamilton_09,acute_cit
1059,10.0,19.0,0.49758297805937285,-0.26188577792598566,-0.7594687559853586,117.5,0.31258998078344025,SR,hamilton_09,acute_cit
1060,10.0,19.0,0.5944103758844689,-0.3128475662549836,-0.9072579421394524,144.0,0.025985416155895953,SR,hamilton_09,acute_cit
1061,10.0,19.0,0.42535152081529315,-0.2238692214817334,-0.6492207422970265,110.0,0.505750208666818,SR,hamilton_09,acute_cit
1062,10.0,19.0,0.2099360880750943,-0.1104926779342601,-0.32042876600935444,121.0,0.24199282271169809,SIR,hamilton_09,acute_cit
1064,10.0,19.0,0.4812111907884356,-0.25326904778338727,-0.7344802385718229,79.0,0.47582396187775977,FF,hamilton_09,acute_cit
1065,10.0,19.0,-0.5671753146060133,0.2985133234768492,0.8656886380828626,57.0,0.0802794252099747,SR,hamilton_09,acute_cit
1068,10.0,19.0,0.6400834694765802,-0.3368860365666211,-0.9769695060432013,141.0,0.03678001589431196,FF,hamilton_09,acute_cit
1613,10.0,19.0,1.0533468341306376,-0.5543930705950726,-1.6077399047257102,185.0,3.9899702793320466e-05,SIR,hamilton_31,acute_cit
1614,10.0,19.0,-0.35567501290146264,0.18719737521129648,0.5428723881127591,67.5,0.2143840576387438,SIR,hamilton_31,acute_cit
1615,10.0,19.0,-0.0063258635817292404,0.003329401885121144,0.009655265466850384,119.5,0.27039817842633695,SIR,hamilton_31,acute_cit
1616,10.0,19.0,-0.5741877815608898,0.3022040955583631,0.8763918771192529,33.0,0.004662225028303499,SIR,hamilton_31,acute_cit
1617,10.0,19.0,-0.6150979411925213,0.3237357585223795,0.9388336997149007,34.5,0.005693459065724153,SIR,hamilton_31,acute_cit
1619,10.0,19.0,-0.5835173543894592,0.30711439704708343,0.8906317514365426,40.5,0.013189697393018396,SIR,hamilton_31,acute_cit
1620,10.0,19.0,1.1211382038945767,-0.5900727388918826,-1.7112109427864595,190.0,1.3889473143632282e-05,SR,hamilton_31,acute_cit
1621,10.0,19.0,0.7996155984465377,-0.42085031497186187,-1.2204659134183995,169.5,0.0006791404207396832,SIR,hamilton_31,acute_cit
1622,10.0,19.0,-0.20936229939107182,0.11019068389003824,0.31955298328111004,85.0,0.6627607112544176,SIR,hamilton_31,acute_cit
1623,10.0,19.0,-1.0899963963806756,0.5736823138845661,1.6636787102652417,4.0,3.267706349740308e-05,SIR,hamilton_31,acute_cit
