neuron_id,burst_4,burst_3,no_wf_3,wf_3,wf_4
182,sr_wide,sr,sr,sr,sr_wide
184,sr_narrow,sr,sr,sr,sr_wide
185,sr_narrow,sir,sir,sir,sir
1011,sr_narrow,sir,sr,sir,sr_narrow
1013,sr_wide,sr,sr,sr,sr_narrow
1014,sr_narrow,sir,sir,sir,sr_narrow
1015,sr_wide,sr,sr,sr,sr_wide
1016,sr_wide,sr,sr,sr,sr_wide
1018,sr_wide,sr,sr,sr,sr_wide
1019,sir,sir,sir,sir,sir
1020,sir,sir,sir,sir,sir
1021,sr_wide,sr,sr,sr,sr_wide
1022,sr_narrow,sir,sr,sir,sr_narrow
1024,sr_wide,sr,sr,sr,sr_wide
1025,sr_wide,sr,sr,sr,sr_wide
1026,sr_narrow,sr,sr,sr,sr_narrow
1027,sr_narrow,sr,sr,sr,sr_wide
1028,sr_wide,sr,sr,sr,sr_wide
1029,sr_wide,sr,sr,sr,sr_wide
1030,sr_wide,sr,sr,sr,sr_wide
1031,sr_wide,sr,sr,sr,sr_narrow
1032,sr_narrow,sr,sr,sr,sr_narrow
1034,sr_narrow,sir,sr,sir,sr_narrow
1035,sr_wide,sr,sr,sr,sr_wide
1036,sir,sir,sir,sir,sir
1037,sir,sir,sir,sir,sir
1038,sr_wide,sr,sir,sr,sr_wide
1040,sir,sir,sir,sir,sir
1041,sir,sir,sir,sir,sir
1044,sir,sir,sir,sir,sir
1045,sr_wide,sr,sr,sr,sr_wide
1046,sr_narrow,sr,sr,sr,sr_narrow
1047,sr_narrow,sir,sr,sir,sr_narrow
1048,sir,sir,sir,sir,sir
1049,sr_narrow,sr,sr,sr,sr_narrow
1050,sr_wide,sr,sr,sr,sr_wide
1052,sr_wide,sr,sr,sr,sr_wide
1053,sr_narrow,sr,sr,sr,sr_narrow
1054,sr_wide,sr,sr,sr,sr_wide
1055,sr_narrow,sr,sr,sr,sr_narrow
1056,sir,sir,sir,sir,sir
1057,sr_wide,sr,sr,sr,sr_wide
1058,sr_wide,sr,sr,sr,sr_wide
1059,sr_wide,sr,sr,sr,sr_wide
1060,sr_wide,sr,sr,sr,sr_narrow
1061,sr_wide,sr,sr,sr,sr_wide
1062,sir,sir,sir,sir,sir
1068,sr_wide,sr,sr,sr,sr_wide
1613,sir,sir,sir,sir,sir
1614,sir,sir,sir,sir,sir
1615,sir,sir,sir,sir,sir
1619,sir,sir,sir,sir,sir
1620,sr_wide,sr,sr,sr,sr_wide
1621,sir,sir,sir,sir,sir
1622,sir,sir,sir,sir,sir
