avg_deg,avg_clust,swp,swp_delta,swp_delta_C,swp_delta_L,avg_path_len,density,session,block,bin_width
0.019138092098439953,0.18231808954390535,0.2928932188134524,-1.0,0.0,1.0,1.9544164719113895,0.04252909355208879,hamilton_04,pre,0.05
0.018335133430561708,0.02841299123174928,0.8378917159453283,-1.0,0.0,0.22925573388314688,1.3723796032080882,0.03156047557719637,hamilton_09,pre,0.05
0.007898768829850312,0.0691715956485767,0.8959633248739908,-1.0,0.0,0.14713007694740593,1.3551874187360229,0.012772887156562822,hamilton_31,pre,0.05
0.02719843233232833,0.06997330195624143,0.35587669240318,-1.0,0.0,0.9109279174440397,1.294397615445581,0.04248749192742415,hamilton_38,pre,0.05
0.01694024105999564,0.12375054079384412,0.5046182669146666,-1.0,0.0,0.700575565481167,1.3500462582275723,0.026157725166169737,hamilton_37,pre,0.05
0.04981138169289979,0.0470051478910115,0.2928932188134524,-1.0,0.0,1.0,1.1466613956434712,0.06415102187721942,hamilton_35,pre,0.05
0.016016710277996775,0.117587536828248,0.4645320823125616,-1.0,0.0,0.7572659914092554,1.3161584369309096,0.02483489908273657,hamilton_36,pre,0.05
0.011993201697841342,0.04588453291136667,0.6820285128436647,-1.0,0.0,0.44967958958443177,1.4132965756429472,0.02213031265673105,hamilton_32,pre,0.05
0.02397124921968241,0.06584697022158592,,,,,,0.05427452653513,hamilton_04,base_shock,0.05
0.05097786809267236,0.1314762218210346,0.24998372392561552,0.5672280639858893,1.0,0.35362243813561206,1.026078235577489,0.056343959470848415,hamilton_09,base_shock,0.05
0.007360800294867853,0.07969818056665641,0.8727093041698666,-1.0,0.0,0.18001622840688308,1.3638058111226297,0.012064797516680808,hamilton_31,base_shock,0.05
0.03259461327322444,0.10547955999054495,0.2928932188134524,-1.0,0.0,1.0,1.3219841641258094,0.055695649864927185,hamilton_38,base_shock,0.05
0.011918066389451332,0.11225127472045861,0.8864424148427994,-1.0,0.0,0.1605946770396507,1.3250979992513374,0.01858883422804353,hamilton_37,base_shock,0.05
0.020159568186214546,0.03039437146824102,0.8108519028112791,-1.0,0.0,0.2674958043413534,1.2709078162968253,0.03108034998479268,hamilton_35,base_shock,0.05
0.013489588643097565,0.06540505023560197,0.7754533969712865,-1.0,0.0,0.31755685138801426,1.2765538537423013,0.019595402449973303,hamilton_36,base_shock,0.05
0.01889069455554946,0.06932541818236451,0.6740035763762038,-1.0,0.0,0.4610285635738975,1.2190894698631511,0.025609833726911075,hamilton_32,base_shock,0.05
0.04878378643343136,0.23643729952416212,0.2928932188134524,-1.0,0.0,1.0,1.656092463549953,0.09292149796844067,hamilton_04,pre,0.1
0.0288801564478011,0.04729149459519695,0.6520798492816093,-1.0,0.0,0.4920333957688395,1.316109035710266,0.046652560415678695,hamilton_09,pre,0.1
0.014944829498912567,0.05628128501872506,0.8491476949680792,-1.0,0.0,0.21333737569138547,1.2923078001080026,0.02249357992685365,hamilton_31,pre,0.1
0.044777549871141985,0.08543756314745604,0.2928932188134524,-1.0,0.0,1.0,1.2411179055251493,0.0679383515286292,hamilton_38,pre,0.1
0.035491851903403315,0.12846565972314342,0.3452570905563469,-1.0,0.0,0.9259463024028335,1.2649083310388465,0.05163941500957064,hamilton_37,pre,0.1
0.0769401308572547,0.07224942007626636,0.2928932188134524,-1.0,0.0,1.0,1.118279326203809,0.09780525108973054,hamilton_35,pre,0.1
0.030473188899615644,0.11623304501288928,0.45293932352549315,-1.0,0.0,0.7736606281112476,1.2486526976117662,0.044500529821660945,hamilton_36,pre,0.1
0.022244791216929474,0.055692251263791896,0.5008298830525402,-1.0,0.0,0.7059331493184616,1.3762568588628823,0.040248357649308196,hamilton_32,pre,0.1
0.053195701478372895,0.12315116992488426,0.39434983137232815,-1.0,0.0,0.8565186825268055,1.2928172203344235,0.08865950246395482,hamilton_04,base_shock,0.1
0.058538380467573266,0.14483894236337852,0.8346864683621671,-1.0,0.0,0.23378863848601708,1.056754839793783,0.06906213425949653,hamilton_09,base_shock,0.1
0.012588783623678537,0.07913351669895799,0.823959492376199,-1.0,0.0,0.24895887340862366,1.3359985547348425,0.02020911269370186,hamilton_31,base_shock,0.1
0.05261372642762228,0.1471223086932876,0.3649616806812067,-1.0,0.0,0.8980798038072537,1.2497744028020499,0.08654220421739739,hamilton_38,base_shock,0.1
0.019733286164909,0.09595954825797509,0.8368515919039449,-1.0,0.0,0.23072669140902158,1.3034471443325346,0.030706468658479896,hamilton_37,base_shock,0.1
0.03164430964436768,0.054013260879490925,0.7784907634289504,-1.0,0.0,0.3132613665496888,1.2580273789857563,0.05043311849571099,hamilton_35,base_shock,0.1
0.02337178592695653,0.06980700375533223,0.7128927640876851,-1.0,0.0,0.40603094688264746,1.2371607093775914,0.03291129038693879,hamilton_36,base_shock,0.1
0.03169104649993356,0.0872218135677204,0.6523858028148997,-1.0,0.0,0.4916007121326042,1.208419691976377,0.0439890645446839,hamilton_32,base_shock,0.1
0.1411210914605966,0.2753582239886436,0.2928932188134524,1.0,1.0,0.0,1.2827354301134741,0.2646020464886186,hamilton_04,pre,0.5
0.07336426346842069,0.12381233431960843,0.2928932188134524,-1.0,0.0,1.0,1.242324406415216,0.12628274859318314,hamilton_09,pre,0.5
0.05552644443636072,0.08337884924463589,0.5906585918262741,-1.0,0.0,0.578896171080184,1.1978491340847135,0.08055587015603316,hamilton_31,pre,0.5
0.0972730153715139,0.11335465115292138,0.3638950582147701,-1.0,0.0,0.8995882357652203,1.1231944324806005,0.13918740410883287,hamilton_38,pre,0.5
