neuron_id,degree,clust,page_rank,session,block,bin_width,neuron_type,in_ensemble,response_fs_slow,response_fs_fast
1031,0.008184973053140752,0.18279145368815392,0.029200665400961914,hamilton_04,pre,0.05,FF,True,inhibited,activated
1032,0.0012676488019375371,0.0,0.040960502579797324,hamilton_04,pre,0.05,SR,True,activated,activated
1034,0.01297551907808526,0.1537725905299222,0.04992501929643595,hamilton_04,pre,0.05,SR,True,inhibited,activated
1035,0.03582046397013427,0.35403138277377133,0.10046631947687418,hamilton_04,pre,0.05,SR,True,inhibited,no_response
1036,0.038740232184847775,0.2817688543842754,0.10820611417054352,hamilton_04,pre,0.05,SIR,True,inhibited,no_response
1037,0.010248122968011895,0.1442821357453058,0.051587132216595104,hamilton_04,pre,0.05,SIR,True,inhibited,no_response
1038,0.022524047157530962,0.35416086240690947,0.0656388406290484,hamilton_04,pre,0.05,SR,True,inhibited,no_response
1040,0.005925219747637339,0.21188927608588842,0.023537384589889083,hamilton_04,pre,0.05,SIR,True,no_response,activated
1041,0.0017308050593494956,0.0,0.050731158335971416,hamilton_04,pre,0.05,SIR,True,no_response,activated
1044,0.0015338205392642027,0.010258869705541481,0.02548846399879068,hamilton_04,pre,0.05,SIR,True,inhibited,inhibited
1045,0.036645575974095915,0.25832499714823315,0.10150811469589194,hamilton_04,pre,0.05,SIR,True,inhibited,no_response
1046,0.007397311550424352,0.11061562583391618,0.03313411538027991,hamilton_04,pre,0.05,SR,True,no_response,activated
1047,0.033185307617299,0.31045303282466513,0.094192376764311,hamilton_04,pre,0.05,SR,True,inhibited,no_response
1048,0.021478220425009898,0.1737268046629406,0.06292030615882875,hamilton_04,pre,0.05,SIR,True,inhibited,no_response
1049,0.017965788319592932,0.17933352083638857,0.06109195494993574,hamilton_04,pre,0.05,SR,True,inhibited,activated
1050,0.03144832503023773,0.19168002607657406,0.10141153135584532,hamilton_04,pre,0.05,SR,True,inhibited,activated
1051,0.05730559294497198,0.03872311128810706,0.18436803100487886,hamilton_09,pre,0.05,FF,True,no_response,no_response
1052,0.01068753754261439,0.023746240607563748,0.04863678180548476,hamilton_09,pre,0.05,SR,True,activated,inhibited
1053,0.0046535884223315805,0.01690919322054189,0.026951146522141596,hamilton_09,pre,0.05,FF,True,activated,activated
1054,0.007233951409006895,0.012921615947912465,0.03664578846426628,hamilton_09,pre,0.05,FF,True,activated,inhibited
1055,0.006195816206755155,0.025942332565084852,0.03399188365921962,hamilton_09,pre,0.05,FF,True,activated,inhibited
1056,0.0165615267314554,0.036249142514689615,0.07041934275243758,hamilton_09,pre,0.05,SIR,True,inhibited,no_response
1057,0.014412929120879903,0.03204119269102183,0.0629392438204042,hamilton_09,pre,0.05,FF,True,activated,inhibited
1058,0.011530088290100882,0.05320471162775614,0.046572097029883235,hamilton_09,pre,0.05,SR,True,inhibited,inhibited
1059,0.008680601792290162,0.01708126356918336,0.042219788452408286,hamilton_09,pre,0.05,SR,True,activated,inhibited
1060,0.014887666056875136,0.019316227556831295,0.05687762980437407,hamilton_09,pre,0.05,SR,True,activated,inhibited
1061,0.01630421853986375,0.029781080559204913,0.07028911724883066,hamilton_09,pre,0.05,SR,True,activated,inhibited
1062,0.012431568295493628,0.03222502236540407,0.05108315776381044,hamilton_09,pre,0.05,SIR,True,inhibited,no_response
1064,0.05112140699705666,0.04507798081769687,0.16151579293950877,hamilton_09,pre,0.05,FF,True,no_response,no_response
1065,0.017921603918875328,0.022671398404596713,0.07557336031642028,hamilton_09,pre,0.05,SR,True,inhibited,no_response
1068,0.006763771759293019,0.020304354740644428,0.03191683841593147,hamilton_09,pre,0.05,FF,True,activated,inhibited
1613,0.0027679345257927727,0.033227985900998236,0.00911091239580534,hamilton_31,pre,0.05,SIR,True,activated,inhibited
1614,0.005629342373515941,0.07121227220165981,0.01454094455749515,hamilton_31,pre,0.05,SIR,True,activated,no_response
1615,0.0048136750842001485,0.07237516070811918,0.01297908543139872,hamilton_31,pre,0.05,SIR,True,activated,activated
1616,0.006071523429871575,0.05514766064008826,0.015885110065014106,hamilton_31,pre,0.05,SIR,True,activated,activated
1617,0.006817357710820805,0.05797935986490606,0.017832307041594088,hamilton_31,pre,0.05,SIR,True,activated,no_response
1619,0.010565068141414332,0.0941853759925063,0.02454889673599617,hamilton_31,pre,0.05,SIR,True,activated,activated
1620,0.0035007338483673237,0.04290423939944914,0.011249587642728225,hamilton_31,pre,0.05,SR,True,inhibited,no_response
1621,0.0026511710664176387,0.033071236404428585,0.00887905574784199,hamilton_31,pre,0.05,SIR,True,no_response,activated
1622,0.006153901762848545,0.05044464175332333,0.016283052844159266,hamilton_31,pre,0.05,SIR,True,activated,activated
1623,0.00384363242089814,0.03969796600820024,0.011785632375906931,hamilton_31,pre,0.05,SIR,True,activated,activated
1625,0.006532191804861462,0.0642450712488684,0.016747790261838265,hamilton_31,pre,0.05,SIR,True,activated,activated
1626,0.01584676826976756,0.12076803576374985,0.035606616360857546,hamilton_31,pre,0.05,SIR,True,activated,no_response
1632,0.008664107529044366,0.06854391017462039,0.021160991443148893,hamilton_31,pre,0.05,SIR,True,activated,activated
1636,0.010374926842193394,0.09247915245790879,0.024349384258766725,hamilton_31,pre,0.05,SIR,True,activated,activated
1638,0.009893761124462814,0.07624596615629363,0.023880797496461964,hamilton_31,pre,0.05,SIR,True,activated,activated
1639,0.004713790288825678,0.05916405207287663,0.013085783971488567,hamilton_31,pre,0.05,SIR,True,inhibited,no_response
1640,0.006355503422370874,0.060585448721748675,0.016337290265890637,hamilton_31,pre,0.05,FF,True,inhibited,activated
1641,0.01043648241094751,0.07933941326411151,0.024588125051201063,hamilton_31,pre,0.05,SIR,True,activated,activated
1642,0.009176384938096326,0.08770045835801467,0.02175968780731532,hamilton_31,pre,0.05,SIR,True,inhibited,no_response
1644,0.007498072890572813,0.06702442546010562,0.018511364638845527,hamilton_31,pre,0.05,SIR,True,activated,activated
1645,0.0077214284997661736,0.06855283321520489,0.019031058481777944,hamilton_31,pre,0.05,SIR,True,activated,activated
1647,0.007837358197785372,0.07693678853873925,0.019228265404830795,hamilton_31,pre,0.05,SR,True,activated,activated
1648,0.00580907446610467,0.06378598893958526,0.01576766615940425,hamilton_31,pre,0.05,SIR,True,inhibited,activated
1649,0.0032682579471665137,0.05209176650973405,0.009936435548653382,hamilton_31,pre,0.05,SIR,True,inhibited,activated
1650,0.008555651622654132,0.08204895953337912,0.020920627573279442,hamilton_31,pre,0.05,SIR,True,activated,activated
1651,0.0035079473674148143,0.04843197261697027,0.010723177936582808,hamilton_31,pre,0.05,SR,True,inhibited,no_response
1655,0.006240313406801334,0.06627619451831537,0.015990652153019362,hamilton_31,pre,0.05,SIR,True,activated,no_response
1657,0.009445114028019059,0.07974416084980634,0.022512391365497354,hamilton_31,pre,0.05,SR,True,inhibited,no_response
1658,0.006447247836352648,0.06346924598061807,0.016319527326975506,hamilton_31,pre,0.05,SR,True,inhibited,no_response
1659,0.0077226785421741165,0.08911919197982578,0.018669756564060797,hamilton_31,pre,0.05,SIR,True,activated,activated
1660,0.0005853314971337565,0.020944957446300243,0.004427052313791143,hamilton_31,pre,0.05,FF,True,inhibited,no_response
1661,0.006533022006805939,0.06278265778229293,0.01673399251092849,hamilton_31,pre,0.05,SR,True,inhibited,no_response
1663,0.022531553504020183,0.12682380512971733,0.04943735891607996,hamilton_31,pre,0.05,SIR,True,activated,no_response
1664,0.007805194749125277,0.06454852162696112,0.019114907606796093,hamilton_31,pre,0.05,SIR,True,activated,activated
1666,0.009992830536137452,0.07600316991861261,0.02365351532551061,hamilton_31,pre,0.05,SR,True,inhibited,activated
1667,0.007783944173860826,0.06950687395958734,0.019106618604225387,hamilton_31,pre,0.05,SIR,True,activated,activated
1668,0.005700052494178246,0.054810375619017276,0.01507566839902035,hamilton_31,pre,0.05,SR,True,inhibited,no_response
1669,0.02471874764939213,0.1344820302639141,0.053904931435138526,hamilton_31,pre,0.05,SIR,True,no_response,activated
1670,0.005723920235303256,0.05364393759561219,0.015726939194731723,hamilton_31,pre,0.05,SIR,True,inhibited,no_response
1671,0.011283305938301744,0.0800149690993265,0.026378688164124794,hamilton_31,pre,0.05,SIR,True,activated,no_response
1675,0.008621649505790157,0.06960287188773057,0.020922673382009004,hamilton_31,pre,0.05,SIR,True,inhibited,no_response
1676,0.005426363177553437,0.058967017499372894,0.015369645987903281,hamilton_31,pre,0.05,SIR,True,inhibited,no_response
1678,0.007879141709517734,0.06406749776761358,0.019775608944695506,hamilton_31,pre,0.05,SIR,True,activated,no_response
1679,0.010016232615866446,0.08542450334700523,0.023983979812792752,hamilton_31,pre,0.05,SIR,True,no_response,no_response
1680,0.010013366911737551,0.09812895108403405,0.023735540680084835,hamilton_31,pre,0.05,SR,True,no_response,activated
1681,0.0027784832859794745,0.0393522810577931,0.009544812151391727,hamilton_31,pre,0.05,SIR,True,inhibited,no_response
1682,0.007784511870441719,0.06358526167010572,0.019208842979248898,hamilton_31,pre,0.05,SR,True,inhibited,no_response
1683,0.0036272827606740076,0.04157355102834418,0.010794183692696626,hamilton_31,pre,0.05,SIR,True,activated,no_response
1684,0.010691118075686512,0.08293217445592474,0.02525572488875489,hamilton_31,pre,0.05,SIR,True,activated,activated
1685,0.013118721410238668,0.11416231414514971,0.029974681688601703,hamilton_31,pre,0.05,SIR,True,activated,activated
1686,0.006255542229103626,0.06452485035066004,0.01598495352459221,hamilton_31,pre,0.05,SIR,True,no_response,activated
1687,0.005105492185988884,0.054241465756756056,0.01366770488904547,hamilton_31,pre,0.05,SIR,True,inhibited,no_response
1690,0.008778754902106988,0.033475877506985316,0.014568940243581002,hamilton_38,pre,0.05,FF,True,inhibited,no_response
1691,0.004696375086064578,0.023981770391982016,0.011379782002494544,hamilton_38,pre,0.05,SIR,True,inhibited,no_response
1693,0.006682018138070072,0.024646775189060402,0.013747464064129335,hamilton_38,pre,0.05,FF,True,inhibited,no_response
1695,0.024594581346383638,0.06938740661571571,0.02837733178091018,hamilton_38,pre,0.05,SIR,True,activated,activated
1697,0.006282283268621595,0.02794515317915176,0.012561134575593005,hamilton_38,pre,0.05,SR,True,inhibited,no_response
