a,b,_distance,weight,comb_id,a_nt,b_nt,nt_comb,distance,source_ensemble,ensemble,sig,ensemble_orig,session_name,block,bin_width,target_ensemble,in_ensemble,same_ensemble,session
1031,1035,0.9793359764819085,0.020664023518091483,"[1031.0, 1035.0]",FF,SR,SR-FF,150.0,-1,-1,False,0,hamilton_04,pre,0.05,-1,True,False,hamilton_04
1031,1036,0.962955342523776,0.03704465747622402,"[1031.0, 1036.0]",FF,SIR,SIR-FF,150.0,-1,-1,False,0,hamilton_04,pre,0.05,-1,True,False,hamilton_04
1034,1036,0.9850039431900061,0.014996056809993982,"[1034.0, 1036.0]",SR,SIR,SR-SIR,150.0,-1,-1,False,0,hamilton_04,pre,0.05,-1,True,False,hamilton_04
1035,1036,0.8661694488007206,0.13383055119927945,"[1035.0, 1036.0]",SR,SIR,SR-SIR,0.0,-1,-1,False,0,hamilton_04,pre,0.05,-1,True,False,hamilton_04
1031,1038,0.9822936017222251,0.017706398277774905,"[1031.0, 1038.0]",FF,SR,SR-FF,150.0,-1,-1,False,4,hamilton_04,pre,0.05,-1,True,False,hamilton_04
1036,1038,0.9266242971468934,0.0733757028531066,"[1036.0, 1038.0]",SIR,SR,SR-SIR,0.0,-1,-1,False,4,hamilton_04,pre,0.05,-1,True,False,hamilton_04
1031,1045,0.9925082965597396,0.007491703440260369,"[1031.0, 1045.0]",FF,SIR,SIR-FF,250.0,-1,-1,False,0,hamilton_04,pre,0.05,-1,True,False,hamilton_04
1034,1045,0.9790739575383269,0.020926042461673042,"[1034.0, 1045.0]",SR,SIR,SR-SIR,250.0,-1,-1,False,0,hamilton_04,pre,0.05,-1,True,False,hamilton_04
1035,1045,0.8865513942592823,0.11344860574071766,"[1035.0, 1045.0]",SR,SIR,SR-SIR,100.0,-1,-1,False,0,hamilton_04,pre,0.05,-1,True,False,hamilton_04
1036,1045,0.8949881300061685,0.10501186999383148,"[1036.0, 1045.0]",SIR,SIR,SIR-SIR,100.0,-1,-1,False,0,hamilton_04,pre,0.05,-1,True,False,hamilton_04
