avg_deg,avg_clust,swp,swp_delta,swp_delta_C,swp_delta_L,avg_path_len,density,session,state,bin_width
0.027314474497518892,0.0,,,,,,0.09104824832506297,ESHOCK_03_LOC1,sw,0.05
0.009797680940456318,0.13840500193020996,0.5301385964715727,-0.6412761277599788,0.18474558852203107,0.6382856293016909,1.4579398327000541,0.018093527576171158,ESHOCK_04_LOC1,sw,0.05
0.013047977621523054,0.05573625386907157,0.11941607883819383,0.18705141617292487,1.0,0.7421967962861361,1.4743795363215122,0.026439323075191454,ESHOCK_06_LOC1,sw,0.05
0.04864510559553315,0.11019662940823215,0.0,0.0,1.0,1.0,1.2536164161137127,0.07439839679316834,ESHOCK_07_LOC1,sw,0.05
0.0852766342855354,0.07301188450168614,0.7127805036489407,-1.0,0.0,0.40618970711763763,1.0348180665667617,0.1039085039613667,ESHOCK_08_LOC1,sw,0.05
0.07269514362937848,0.08012048058910899,0.5226999540595474,-1.0,0.0,0.6750041982902893,1.077241925506395,0.09601245385012253,ESHOCK_09_LOC1,sw,0.05
0.006725428886857699,0.19088350733497222,,,,,,0.06277066961067186,hamilton_10,sw,0.05
0.017335864403207776,0.22351224832195024,0.2928932188134524,-1.0,0.0,1.0,1.629999078301215,0.039005694907217496,hamilton_03,sw,0.05
0.013444058952404945,0.13801966342248523,,,,,,0.032924226005889665,hamilton_04,sw,0.05
0.0330321701585889,0.03656488691316781,0.0,0.0,1.0,1.0,1.3026677623595395,0.0550536169309815,hamilton_09,sw,0.05
0.033833354974205906,0.06603483869198111,0.2928932188134524,-1.0,0.0,1.0,1.3217038674179444,0.05682436067096359,acute_15,sw,0.05
0.023643030117991095,0.06236566398341018,0.2928932188134524,-1.0,0.0,1.0,1.3285703907707505,0.03637389248921707,acute_16,sw,0.05
0.009448638514770269,0.07079345457769269,0.45080830946743355,-1.0,0.0,0.7766743370937632,1.4370090607875243,0.017755133912370505,acute_14,sw,0.05
0.022032961297101975,0.02132004699297986,,,,,,0.03037366655836815,acute_12,sw,0.05
0.03055989433487291,0.0224638309770977,0.6308787713372941,-1.0,0.0,0.5220162477346192,1.3049424173246045,0.053408413463749846,acute_11,sw,0.05
0.034933233477299146,0.0,,,,,,0.34933233477299147,ESHOCK_03_LOC1,act,0.05
0.02050879031155979,0.17168704580947347,0.2928932188134524,-1.0,0.0,1.0,1.4470663229714011,0.03679946062996189,ESHOCK_04_LOC1,act,0.05
0.00899698247835483,0.0459382767796239,0.7998167413438273,-1.0,0.0,0.2831018793516007,1.4909493793886237,0.017612736885592926,ESHOCK_06_LOC1,act,0.05
0.022696836192045607,0.07984105571081215,0.0663395737012471,0.09402321846447137,1.0,0.8622317456883261,1.5648176433296126,0.053647067363016894,ESHOCK_07_LOC1,act,0.05
0.03406178242408526,0.030019230006379984,0.6281944947957674,-1.0,0.0,0.5258123880248062,1.3574371636405274,0.06875825644613484,ESHOCK_08_LOC1,act,0.05
0.017360664221681546,0.06048593761703929,0.7879958318362141,-1.0,0.0,0.2998191698968523,1.374709789357964,0.030983621698751764,ESHOCK_09_LOC1,act,0.05
0.0015980821829413394,0.0,,,,,,0.02237315056117875,hamilton_10,act,0.05
0.00414933734522634,0.11068920906024252,,,,,,0.01493761444281482,hamilton_03,act,0.05
0.00540067192341503,0.09152349569732877,0.2928932188134524,1.0,1.0,0.0,2.1191233271493544,0.02314573681463584,hamilton_04,act,0.05
0.00892266271959921,0.0965192296992326,0.4747220061568237,0.7215580436579818,0.7251626566280267,0.16116160542761598,1.6442599946450842,0.020469638003786417,hamilton_09,act,0.05
0.03633408657331913,0.10189581960619797,0.2928932188134524,-1.0,0.0,1.0,1.3189877125222118,0.06102443111735066,acute_15,act,0.05
0.012191353120930885,0.055462509325955596,0.2928932188134524,-1.0,0.0,1.0,1.4371645132113324,0.022166096583510698,acute_16,act,0.05
0.010471233697459215,0.10696073396158899,0.47506971877721893,-1.0,0.0,0.7423635230055798,1.459017339224553,0.019895344025172512,acute_14,act,0.05
0.01867142430421946,0.020502628699519194,0.2928932188134524,-1.0,0.0,1.0,1.3476207916917617,0.030882869217470132,acute_12,act,0.05
0.031935014615647024,0.04841145559879202,0.8442140298891085,-1.0,0.0,0.22031463175827237,1.285926416014567,0.053320069045767804,acute_11,act,0.05
0.09944102892970012,0.18555064512129393,0.7616914975509973,1.0,0.33701911619220154,0.0,1.014902572332249,0.12430128616212517,ESHOCK_03_LOC1,sw,0.1
0.019137279888968194,0.13410106326796323,0.7025378388993775,-1.0,0.0,0.42067502252131084,1.416846071075673,0.033858264418943726,ESHOCK_04_LOC1,sw,0.1
0.027345528710344024,0.08284771659756612,0.2928932188134524,-1.0,0.0,1.0,1.4114507541954313,0.05353234857702942,ESHOCK_06_LOC1,sw,0.1
0.07569944217443172,0.15622447056869015,0.2928932188134524,-1.0,0.0,1.0,1.1910718482596356,0.11354916326164757,ESHOCK_07_LOC1,sw,0.1
0.11466407932707101,0.10304750922190144,0.7530645598206993,-1.0,0.0,0.3492194485321371,1.0024207360631432,0.14333009915883874,ESHOCK_08_LOC1,sw,0.1
0.10633121697576803,0.10231047578445447,0.5473098067557611,-1.0,0.0,0.6402006108392999,1.0005767645392245,0.13699113843503857,ESHOCK_09_LOC1,sw,0.1
0.013892679424877824,0.1015071547612657,,,,,,0.07779900477931581,hamilton_10,sw,0.1
0.04406850295107566,0.27127611657019707,0.17275296501579018,0.3052099074264132,1.0,0.6071863913003427,1.4501312626742855,0.08813700590215132,hamilton_03,sw,0.1
