neuron_id,degree,clust,page_rank,session,shuffle,neuron_type,in_ensemble
1,0.15033087980324777,0.35744772826338206,0.1036365823399634,ESHOCK_03_LOC1,False,SIR,False
4,0.39256462267161496,0.7963909018503571,0.21728968141949842,ESHOCK_03_LOC1,False,SIR,False
5,0.42723198433477716,0.41676155864330305,0.2470352121122954,ESHOCK_03_LOC1,False,FF,False
6,0.39338051888278835,0.45230708545454784,0.21854919385152774,ESHOCK_03_LOC1,False,SIR,False
8,0.3856706422379653,0.7853807240468439,0.21348933027671513,ESHOCK_03_LOC1,False,SR,False
9,0.2041702361903319,0.3300928942093371,0.04393943407989748,ESHOCK_04_LOC1,False,SIR,True
12,0.20587790293461647,0.30458067256335336,0.04584090500799429,ESHOCK_04_LOC1,False,SIR,False
17,0.2949709556536493,0.46799066816950496,0.06177161968443083,ESHOCK_04_LOC1,False,SIR,True
18,0.2552378864107703,0.38494688207018063,0.05394695632158521,ESHOCK_04_LOC1,False,SIR,True
22,0.0682853436940892,0.2800570355738616,0.03486309163132711,ESHOCK_04_LOC1,False,SR,True
27,0.07962917294183652,0.13050888807352753,0.028247105887058855,ESHOCK_04_LOC1,False,SIR,False
31,0.2896832800275259,0.38119373781568106,0.06158642684974637,ESHOCK_04_LOC1,False,SIR,False
32,0.2599788990118055,0.38511324256888535,0.05488035826006968,ESHOCK_04_LOC1,False,SIR,True
33,0.16072342776440413,0.2712601466445808,0.03705890746551417,ESHOCK_04_LOC1,False,SIR,True
34,0.09922187494674439,0.15581120234588583,0.02796006329747687,ESHOCK_04_LOC1,False,SIR,True
35,0.17112697148984318,0.3363920594847624,0.038648407640692065,ESHOCK_04_LOC1,False,SIR,True
36,0.07235877161593862,0.12855993059002116,0.0351448412266246,ESHOCK_04_LOC1,False,SR,True
37,0.09288875149680835,0.15365315421013556,0.028337757206156052,ESHOCK_04_LOC1,False,SR,True
38,0.06720179213355552,0.1653767300356627,0.026602507179233275,ESHOCK_04_LOC1,False,SR,True
39,0.3150666397007588,0.4398650027520888,0.06531768464476091,ESHOCK_04_LOC1,False,SR,True
40,0.31602153604854255,0.4483138727015796,0.06578533445126065,ESHOCK_04_LOC1,False,SIR,True
41,0.028685619456268418,0.08137637344974215,0.016784223456136747,ESHOCK_04_LOC1,False,FF,False
42,0.16977571951037335,0.2674236276772624,0.04141783462386808,ESHOCK_04_LOC1,False,FF,True
43,0.27508329103233037,0.36057395270786685,0.05809066804825827,ESHOCK_04_LOC1,False,FF,True
44,0.09863773326010557,0.16239309636586977,0.02713745171252143,ESHOCK_04_LOC1,False,SIR,False
45,0.1867727136814523,0.281388262616852,0.043237741621540676,ESHOCK_04_LOC1,False,FF,False
46,0.33240783736983875,0.459992943647131,0.06875388323090711,ESHOCK_04_LOC1,False,FF,True
47,0.06797878891929607,0.18694140670140605,0.03464679647293922,ESHOCK_04_LOC1,False,SR,True
48,0.09633599227751456,0.23463753989646025,0.043619923302999186,ESHOCK_06_LOC1,False,SR,False
49,0.13821458545659418,0.20162780561236188,0.061228076746251775,ESHOCK_06_LOC1,False,FF,False
50,0.13033363748338922,0.26587103162200665,0.05643703685745264,ESHOCK_06_LOC1,False,SR,False
51,0.0894959525871789,0.18367498607917507,0.05372614383929789,ESHOCK_06_LOC1,False,SR,True
