neuron_id,waveform_width,peak_asymmetry,mean_firing_rate,cv2_isi,recording_session_id,cluster_id,channel,is_single_unit,session_name,group_name,experiment_name,cv2_burst,is_burster,median_burst
1,16.0,0.06557377049180328,0.6016925807097797,0.4673154981839161,3,0,6,1,ESHOCK_03_LOC1,shock,ESHOCK,0.4497657131315254,True,0.041733333333354494
4,9.0,0.03734439834024896,2.105512478051459,0.8247966666811437,3,3,17,1,ESHOCK_03_LOC1,shock,ESHOCK,0.6381979471139893,True,0.022283333333319888
5,17.0,0.07053941908713693,1.778189519188364,0.3945747234093241,3,4,20,1,ESHOCK_03_LOC1,shock,ESHOCK,0.3232153349703746,True,0.03843333333333021
6,21.0,0.08713692946058091,0.832163063060995,0.42882137108451107,3,5,26,1,ESHOCK_03_LOC1,shock,ESHOCK,0.4112936210025163,False,0.03705000000002201
8,70.0,0.3431372549019608,1.6903912401974248,0.3052024119288294,3,7,28,1,ESHOCK_03_LOC1,shock,ESHOCK,0.2642855714124026,False,0.026466666666664196
9,36.0,0.14173228346456693,2.628735346913087,0.6086774865627393,4,3,5,1,ESHOCK_04_LOC1,shock,ESHOCK,0.5225130529027874,False,0.026433333333443443
12,35.0,0.13618677042801555,2.0424074650267214,0.8554942512264332,4,8,3,1,ESHOCK_04_LOC1,shock,ESHOCK,0.7542176140967899,False,0.026499999999941792
17,75.0,0.3112033195020747,3.1991497907323443,0.45915575652836266,4,28,8,1,ESHOCK_04_LOC1,shock,ESHOCK,0.36203502389694703,False,0.025033333333340124
18,40.0,0.15503875968992248,2.9083179915748585,0.8078774906503305,4,31,1,1,ESHOCK_04_LOC1,shock,ESHOCK,0.6446378306399004,False,0.02411666666671408
22,41.0,0.1607843137254902,4.177551862237622,0.9567270939328101,4,55,10,1,ESHOCK_04_LOC1,shock,ESHOCK,0.7100136468343011,True,0.025300000000243017
27,106.0,0.4690265486725664,2.1790435367063705,0.8919316703970797,4,83,4,1,ESHOCK_04_LOC1,shock,ESHOCK,0.7658117202503871,False,0.025133333333315022
31,26.0,0.10655737704918032,4.823143582442872,0.5280093746544742,4,176,22,1,ESHOCK_04_LOC1,shock,ESHOCK,0.4574990636427212,False,0.0351666666665551
32,26.0,0.10483870967741936,3.539916861065927,0.4271976080387832,4,193,22,1,ESHOCK_04_LOC1,shock,ESHOCK,0.3835559465788533,False,0.026433333333443443
33,38.0,0.14960629921259844,2.4586261813681425,0.4809707641999229,4,201,14,1,ESHOCK_04_LOC1,shock,ESHOCK,0.42372583203438563,False,0.02593333333334158
34,81.0,0.41968911917098445,2.4866118827965042,0.6649292952293343,4,203,5,1,ESHOCK_04_LOC1,shock,ESHOCK,0.6394982501145122,False,0.04205000000013115
