neuron_id,lag,time,cc,session_name,bin_width,p,sig
8,0,0.0,,ESHOCK_03_LOC1,1.0,0.0,True
22,0,0.0,-0.2755601937830738,ESHOCK_04_LOC1,1.0,0.0,True
31,0,0.0,0.1207591650437855,ESHOCK_04_LOC1,1.0,0.0,True
33,0,0.0,-0.0167629258359619,ESHOCK_04_LOC1,1.0,0.7407286922576448,False
34,0,0.0,0.0547291525950404,ESHOCK_04_LOC1,1.0,1.4016620498614958,False
38,0,0.0,-0.1939479071939666,ESHOCK_04_LOC1,1.0,0.0,True
41,0,0.0,-0.1509688136023721,ESHOCK_04_LOC1,1.0,0.0,True
43,0,0.0,0.0739074196070254,ESHOCK_04_LOC1,1.0,0.0,True
45,0,0.0,0.121278129581549,ESHOCK_04_LOC1,1.0,0.0,True
51,0,0.0,0.2553690026051712,ESHOCK_06_LOC1,1.0,0.0,True
54,0,0.0,0.1245025436561568,ESHOCK_06_LOC1,1.0,0.0,True
63,0,0.0,0.1949619887054988,ESHOCK_06_LOC1,1.0,0.0,True
64,0,0.0,0.179638398935658,ESHOCK_06_LOC1,1.0,0.0,True
69,0,0.0,0.1775419249470334,ESHOCK_06_LOC1,1.0,0.0,True
73,0,0.0,0.0805976330756848,ESHOCK_06_LOC1,1.0,0.0,True
75,0,0.0,-0.15258736337573,ESHOCK_06_LOC1,1.0,0.0,True
76,0,0.0,0.1222223172213663,ESHOCK_06_LOC1,1.0,0.0,True
82,0,0.0,0.0284104336724937,ESHOCK_07_LOC1,1.0,1.7592351151673185,False
86,0,0.0,0.236171028654427,ESHOCK_07_LOC1,1.0,0.0,True
91,0,0.0,0.2781001921008884,ESHOCK_07_LOC1,1.0,0.0,True
93,0,0.0,0.3299751601173462,ESHOCK_07_LOC1,1.0,0.0,True
94,0,0.0,0.1100466871502516,ESHOCK_07_LOC1,1.0,0.0,True
97,0,0.0,0.1103370843254575,ESHOCK_08_LOC1,1.0,0.0,True
99,0,0.0,0.2256163882373617,ESHOCK_08_LOC1,1.0,0.0,True
100,0,0.0,0.1395241120855161,ESHOCK_08_LOC1,1.0,0.0,True
102,0,0.0,0.1946007534857909,ESHOCK_08_LOC1,1.0,0.0,True
