n_best,neuron_id,score,session_name
1,1031,0.24335419811041364,hamilton_04
2,1031,0.27975369665180605,hamilton_04
3,1031,0.34687046184291814,hamilton_04
4,1031,0.3576003291032571,hamilton_04
5,1031,0.37209259845993464,hamilton_04
6,1031,0.3769538230201784,hamilton_04
7,1031,0.38222268068321086,hamilton_04
8,1031,0.3744914761064998,hamilton_04
9,1031,0.38275181527756164,hamilton_04
10,1031,0.37947334557733836,hamilton_04
11,1031,0.38523453810052394,hamilton_04
12,1031,0.38545338876627283,hamilton_04
13,1031,0.46144304953530596,hamilton_04
14,1031,0.4628741711928021,hamilton_04
15,1031,0.46804115948673947,hamilton_04
1,1032,0.48398013551391006,hamilton_04
2,1032,0.48774084322755595,hamilton_04
3,1032,0.5069634296224668,hamilton_04
4,1032,0.5171744669983234,hamilton_04
5,1032,0.5174207294366007,hamilton_04
6,1032,0.5286677229337318,hamilton_04
7,1032,0.5192239304303823,hamilton_04
8,1032,0.5219501373894421,hamilton_04
9,1032,0.5266423223409247,hamilton_04
10,1032,0.5187005389155223,hamilton_04
11,1032,0.5232242654090875,hamilton_04
12,1032,0.6032075962351988,hamilton_04
13,1032,0.6078670602970057,hamilton_04
14,1032,0.6254897079215163,hamilton_04
15,1032,0.6449837521819068,hamilton_04
1,1034,0.624737105426657,hamilton_04
2,1034,0.7573202092945394,hamilton_04
3,1034,0.76731684831745,hamilton_04
4,1034,0.7677313734823696,hamilton_04
5,1034,0.7673466750044798,hamilton_04
6,1034,0.7638321515437364,hamilton_04
7,1034,0.7747502966635152,hamilton_04
8,1034,0.7750300567330124,hamilton_04
9,1034,0.7736279610429527,hamilton_04
10,1034,0.7768538678809325,hamilton_04
11,1034,0.7804817354817623,hamilton_04
12,1034,0.7798708642040324,hamilton_04
13,1034,0.7785657685125505,hamilton_04
14,1034,0.7820540596401717,hamilton_04
15,1034,0.7973808104253584,hamilton_04
1,1035,0.5138792581368495,hamilton_04
2,1035,0.611462786323818,hamilton_04
3,1035,0.6301626318658586,hamilton_04
4,1035,0.6239252356198655,hamilton_04
5,1035,0.6215346173014085,hamilton_04
6,1035,0.6400286161659118,hamilton_04
7,1035,0.6239629543535219,hamilton_04
8,1035,0.639540410173628,hamilton_04
9,1035,0.6330061294372936,hamilton_04
10,1035,0.6226787216318261,hamilton_04
11,1035,0.7660782329748185,hamilton_04
12,1035,0.79441264092052,hamilton_04
13,1035,0.7787731102602774,hamilton_04
14,1035,0.8258502626589992,hamilton_04
15,1035,0.8668656271336296,hamilton_04
1,1036,0.5860376608615812,hamilton_04
2,1036,0.5939712874565075,hamilton_04
3,1036,0.6818066166678218,hamilton_04
4,1036,0.7797727707272408,hamilton_04
5,1036,0.775845867212344,hamilton_04
6,1036,0.7763484731879753,hamilton_04
7,1036,0.7710646247789184,hamilton_04
8,1036,0.7871402896846709,hamilton_04
9,1036,0.794485381903338,hamilton_04
10,1036,0.7999690632474836,hamilton_04
11,1036,0.7679060940824374,hamilton_04
12,1036,0.7843555650384537,hamilton_04
13,1036,0.7872124465388591,hamilton_04
14,1036,0.7991609746597308,hamilton_04
15,1036,0.785222320896897,hamilton_04
1,1037,0.5055747737675633,hamilton_04
2,1037,0.5102360494699453,hamilton_04
3,1037,0.5925817637165526,hamilton_04
4,1037,0.6237475976412229,hamilton_04
5,1037,0.6504909976109139,hamilton_04
6,1037,0.6686127386476541,hamilton_04
7,1037,0.6528466284958014,hamilton_04
8,1037,0.6655970712155043,hamilton_04
9,1037,0.6874611191102706,hamilton_04
10,1037,0.6904119236758207,hamilton_04
11,1037,0.6936566835391427,hamilton_04
