neuron_id,comb,session_name
1,-0.05575607051905514,ESHOCK_03_LOC1
4,-0.07900257311151004,ESHOCK_03_LOC1
5,-0.09528067741111634,ESHOCK_03_LOC1
6,-0.059862146659357095,ESHOCK_03_LOC1
8,-0.06418996944549868,ESHOCK_03_LOC1
9,-0.06843811491594387,ESHOCK_04_LOC1
12,-0.04469707539847989,ESHOCK_04_LOC1
17,-0.08243877500700898,ESHOCK_04_LOC1
18,-0.06618856610796198,ESHOCK_04_LOC1
22,-0.04785537809671818,ESHOCK_04_LOC1
27,-0.07422910311544917,ESHOCK_04_LOC1
31,-0.07873059478247905,ESHOCK_04_LOC1
32,-0.07057683122509614,ESHOCK_04_LOC1
33,-0.06631013240441028,ESHOCK_04_LOC1
34,-0.07830526582599284,ESHOCK_04_LOC1
35,-0.08747529807656118,ESHOCK_04_LOC1
36,-0.06106611595426199,ESHOCK_04_LOC1
37,-0.05464521332388217,ESHOCK_04_LOC1
38,-0.0651961821325215,ESHOCK_04_LOC1
39,-0.03702962307726256,ESHOCK_04_LOC1
40,-0.05909187971793632,ESHOCK_04_LOC1
41,-0.04920888019856151,ESHOCK_04_LOC1
42,-0.05016001147987721,ESHOCK_04_LOC1
43,-0.05794670287669597,ESHOCK_04_LOC1
44,-0.0682649053750041,ESHOCK_04_LOC1
45,-0.07793812570500921,ESHOCK_04_LOC1
46,-0.07794756313057745,ESHOCK_04_LOC1
47,-0.06143769471678713,ESHOCK_04_LOC1
48,-0.061297663760053835,ESHOCK_06_LOC1
49,-0.06491528557035017,ESHOCK_06_LOC1
50,-0.06902229466650503,ESHOCK_06_LOC1
51,-0.10267126293847854,ESHOCK_06_LOC1
52,-0.07571768608404957,ESHOCK_06_LOC1
54,-0.06357463531688054,ESHOCK_06_LOC1
55,-0.06477265886647965,ESHOCK_06_LOC1
57,-0.07242926005073662,ESHOCK_06_LOC1
58,-0.05800939741969837,ESHOCK_06_LOC1
59,-0.04155612228707821,ESHOCK_06_LOC1
60,-0.07137601510568108,ESHOCK_06_LOC1
62,-0.04293431659557445,ESHOCK_06_LOC1
63,-0.09632085693296277,ESHOCK_06_LOC1
64,-0.06093766289391267,ESHOCK_06_LOC1
69,-0.05549717758490615,ESHOCK_06_LOC1
70,-0.047339999136690666,ESHOCK_06_LOC1
71,-0.08644413584651986,ESHOCK_06_LOC1
73,-0.07507850144259738,ESHOCK_06_LOC1
74,-0.07761302463039903,ESHOCK_06_LOC1
75,-0.05547995912989241,ESHOCK_06_LOC1
76,-0.08541347233418928,ESHOCK_06_LOC1
77,-0.07781799600926051,ESHOCK_06_LOC1
81,-0.07605480154718772,ESHOCK_07_LOC1
82,-0.055440204220314857,ESHOCK_07_LOC1
84,-0.05984197724368769,ESHOCK_07_LOC1
85,-0.10886208544115919,ESHOCK_07_LOC1
86,-0.053976527300992005,ESHOCK_07_LOC1
88,-0.0615684568512684,ESHOCK_07_LOC1
