neuron_id,pop,session_name
1,-0.11022396856370445,ESHOCK_03_LOC1
4,-0.0981432570469913,ESHOCK_03_LOC1
5,-0.08429725429716792,ESHOCK_03_LOC1
6,-0.07477149761974666,ESHOCK_03_LOC1
8,-0.08724356872015546,ESHOCK_03_LOC1
9,-0.0608902035091766,ESHOCK_04_LOC1
12,-0.0894409098796646,ESHOCK_04_LOC1
17,-0.07147015197894949,ESHOCK_04_LOC1
18,-0.08049692349936044,ESHOCK_04_LOC1
22,-0.09392612062252166,ESHOCK_04_LOC1
27,-0.0683198547162942,ESHOCK_04_LOC1
31,-0.06330080034149868,ESHOCK_04_LOC1
32,-0.09659585099145866,ESHOCK_04_LOC1
33,-0.07651581892247065,ESHOCK_04_LOC1
34,-0.0952166323906272,ESHOCK_04_LOC1
35,-0.07949671048699174,ESHOCK_04_LOC1
36,-0.07095789074717515,ESHOCK_04_LOC1
37,-0.061630448184032495,ESHOCK_04_LOC1
38,-0.08987895643204431,ESHOCK_04_LOC1
39,-0.09288972573364793,ESHOCK_04_LOC1
40,-0.06343289571609052,ESHOCK_04_LOC1
41,-0.05832007735657561,ESHOCK_04_LOC1
42,-0.0697783187578905,ESHOCK_04_LOC1
43,-0.10238529195215654,ESHOCK_04_LOC1
44,-0.050160768881393425,ESHOCK_04_LOC1
45,-0.0603356319634889,ESHOCK_04_LOC1
46,-0.05302744801563834,ESHOCK_04_LOC1
47,-0.07510875315072592,ESHOCK_04_LOC1
48,-0.07496486988038949,ESHOCK_06_LOC1
49,-0.06448472965864709,ESHOCK_06_LOC1
50,-0.07126578820810373,ESHOCK_06_LOC1
51,-0.0826127076242376,ESHOCK_06_LOC1
52,-0.10096527877807508,ESHOCK_06_LOC1
54,-0.06975641589036385,ESHOCK_06_LOC1
55,-0.07409408623125247,ESHOCK_06_LOC1
57,-0.06249355955642031,ESHOCK_06_LOC1
58,-0.05366295794000338,ESHOCK_06_LOC1
59,-0.09327427850834971,ESHOCK_06_LOC1
60,-0.041209179222591666,ESHOCK_06_LOC1
62,-0.10132835925497444,ESHOCK_06_LOC1
63,-0.05576416926425285,ESHOCK_06_LOC1
64,-0.0783267167054265,ESHOCK_06_LOC1
69,-0.09081016549888794,ESHOCK_06_LOC1
70,-0.06100537125210419,ESHOCK_06_LOC1
71,-0.07302747721729505,ESHOCK_06_LOC1
73,-0.06725267098849592,ESHOCK_06_LOC1
74,-0.07526172253263304,ESHOCK_06_LOC1
75,-0.08263394752162836,ESHOCK_06_LOC1
76,-0.071651608520565,ESHOCK_06_LOC1
77,-0.06549980273695892,ESHOCK_06_LOC1
81,-0.10542159599110623,ESHOCK_07_LOC1
82,-0.09936934535933126,ESHOCK_07_LOC1
84,-0.0551402247779452,ESHOCK_07_LOC1
85,-0.09019218981104982,ESHOCK_07_LOC1
86,-0.07511645369179507,ESHOCK_07_LOC1
88,-0.06385138754533308,ESHOCK_07_LOC1
89,-0.07432761305345922,ESHOCK_07_LOC1
90,-0.07857555380666859,ESHOCK_07_LOC1
91,-0.06886586581744485,ESHOCK_07_LOC1
92,-0.060076269469443444,ESHOCK_07_LOC1
93,-0.07785367276254784,ESHOCK_07_LOC1
94,-0.11422315302311285,ESHOCK_07_LOC1
