neuron_id,pop,state,comb,session_name,n_units
2410,0.2178659269681666,0.017306325462665927,0.19816342820061233,acute_16,14
2407,0.03528341068384575,0.0034022909292779737,0.024353088217327602,acute_16,14
2422,0.8426152925692312,0.36584530372573204,0.8216541424829009,acute_16,14
2415,0.8845388198490884,0.8599362537090259,0.9301216110201131,acute_16,14
2418,0.07271632884748322,0.005000000360454582,0.08494617841865519,acute_16,14
2411,0.3095138884554247,0.16205239225804643,0.30013625588520615,acute_16,14
2412,0.41715645551289315,0.2869688347374047,0.41731021807277485,acute_16,14
2428,0.17033390104735077,0.08409682151201259,0.17894399655942556,acute_16,14
2425,0.15878322898732536,0.03464841913519541,0.13066640663087586,acute_16,14
2424,0.9187921994124213,0.47074397537421664,0.9211098450608896,acute_16,14
2480,0.6266863794040936,0.1405385461308083,0.6515981229208399,acute_14,14
2476,0.12341009890430765,-0.004532431666842207,0.14463389335532306,acute_14,14
2481,0.26763479330740003,0.020936486852524007,0.25070151772283145,acute_14,14
2493,0.21364590956929588,0.0816717418019383,0.2117956196659719,acute_14,14
2487,0.47376409359013555,0.04934142962493084,0.47530123072867997,acute_14,14
2478,0.0336312816055101,-0.005915187727670279,0.020497696994986735,acute_14,14
2472,0.6425017693907061,0.03846824152407942,0.641609590090858,acute_14,14
2489,0.2632788286998431,0.06506135815930456,0.25390625085504276,acute_14,14
2485,0.2849987810619607,0.011429580501682812,0.2891479550855852,acute_14,14
2496,0.38092250902235564,0.0867729167629087,0.38127620055027034,acute_14,14
2463,0.4003459791877182,0.0073298873348924595,0.41348378986748846,acute_14,14
2475,0.6738990875203974,0.01801178829960337,0.6787193020814902,acute_14,14
2464,0.3916550119586543,0.03154092321222781,0.39126768705084725,acute_14,14
2465,0.11090804734522172,0.01541750865427094,0.11357948676438627,acute_14,14
2563,0.7152131627228584,0.00468275637343094,0.7188040505304386,acute_12,14
2523,-0.419117096108096,-0.014854294861956618,-1.3739929656340848,acute_12,14
2548,0.6166526925597966,0.034106573074410854,0.6285083118343925,acute_12,14
2524,0.759689212123438,0.2556392666065922,0.758532246096286,acute_12,14
2574,0.7374986664213233,0.49239714255284,0.776455616530458,acute_12,14
2542,0.5091090543978553,-0.0035545749675922832,0.5102289884967242,acute_12,14
2527,0.6030803474896202,0.3446353834041087,0.6192477758007906,acute_12,14
2526,0.6595817900782068,0.1439098022564799,0.6913246903703955,acute_12,14
2573,0.6252254466873775,0.1506357242812142,0.634266622406306,acute_12,14
2529,0.7049251703247166,0.09514506805153192,0.7094641938838739,acute_12,14
2562,0.3279473910733502,0.044415683062342136,0.34465864396554724,acute_12,14
2525,0.8040882231102688,0.10291569287859112,0.8040530275448177,acute_12,14
2564,-0.2558366745866588,-0.00151837026602073,-0.25735747067522274,acute_12,14
2590,0.7536353310042969,0.06961990261915565,0.7602758556868191,acute_12,14
2634,-0.061041016819426086,-0.003558576551660053,-0.02771111224186009,acute_11,14
2596,0.5445864269795277,0.0008847456085816052,0.5427918027048204,acute_11,14
2621,0.12893218221484667,-0.004314600473142294,0.14750266559614394,acute_11,14
2593,0.6646058958267158,0.075180059182262,0.6898331352071165,acute_11,14
2592,0.825030102219257,0.4135048391921038,0.8393786120085549,acute_11,14
2616,0.4284192899835243,0.07694225681541464,0.4354604054784179,acute_11,14
2618,0.5914211403057767,0.09230987607618175,0.5909248983015682,acute_11,14
2611,0.6341420304871658,0.10212212176623492,0.6367570305805346,acute_11,14
2627,0.26628194795746574,-0.0011153004598179362,0.2841600967305177,acute_11,14
2626,0.701887869314451,0.09852442887766688,0.6995113268365979,acute_11,14
2603,0.5574914133646823,0.05733944922710395,0.5582073972602084,acute_11,14
2622,0.5276859830247724,0.12794403111382652,0.5223947810782541,acute_11,14
2604,0.2910705582814923,0.0071832711110046965,0.28893705206222015,acute_11,14
2607,0.6980876758637681,0.07926668341329528,0.6976084619644505,acute_11,14
44,0.17981848387892305,0.08214952021023136,0.186413911858769,ESHOCK_04_LOC1,15
41,0.44428851738236874,0.0034772229188313464,0.45194662312571243,ESHOCK_04_LOC1,15
39,0.8957123645832755,0.10166545312768756,0.8978949769886325,ESHOCK_04_LOC1,15
37,0.6119428645613286,0.0971889631228875,0.610835657056939,ESHOCK_04_LOC1,15
46,0.8124162845751339,0.170849152929911,0.8205077152700655,ESHOCK_04_LOC1,15
40,0.7159976570260176,0.10844936874447753,0.7192903251124266,ESHOCK_04_LOC1,15
36,0.7847968631240507,0.09358485082255001,0.7811760231314332,ESHOCK_04_LOC1,15
31,0.8113329473308541,0.21687368458587253,0.8131094334682298,ESHOCK_04_LOC1,15
47,0.8989242889847743,0.17719573560364596,0.8987172287784613,ESHOCK_04_LOC1,15
35,0.163722283507263,0.008222036868226711,0.15959586795757946,ESHOCK_04_LOC1,15
12,0.4040706623640711,0.15169193749413362,0.39815235160080303,ESHOCK_04_LOC1,15
9,0.3243575119293126,0.010008475966614605,0.3338948482357525,ESHOCK_04_LOC1,15
22,0.683575568458755,0.061441016035386986,0.675261092576519,ESHOCK_04_LOC1,15
38,0.6785331929198162,-0.005397496643874344,0.6794752679222504,ESHOCK_04_LOC1,15
43,0.551919950758751,0.07653880097890534,0.5565814470649533,ESHOCK_04_LOC1,15
60,0.4889212894805657,-0.007042602780123452,0.524010249898143,ESHOCK_06_LOC1,15
70,0.443534537315601,0.030650952228866934,0.45029521421332214,ESHOCK_06_LOC1,15
58,0.6267001683379096,0.07367295908617318,0.6241358190542162,ESHOCK_06_LOC1,15
48,0.3498608887913829,0.004775518004184254,0.34146366525571237,ESHOCK_06_LOC1,15
51,0.5320197375728621,-0.007310700198955078,0.5374927874449416,ESHOCK_06_LOC1,15
59,0.24173017986850417,0.023173819362280135,0.2481169878935477,ESHOCK_06_LOC1,15
76,0.2111791688801342,-0.002992217848695811,0.20590357854498512,ESHOCK_06_LOC1,15
57,0.4170635484723798,0.05411467832798167,0.45810727717597305,ESHOCK_06_LOC1,15
64,0.41449198863253167,-0.006184983268054412,0.424988651640332,ESHOCK_06_LOC1,15
62,0.5834937300769241,0.1207601676197384,0.6005458321895569,ESHOCK_06_LOC1,15
63,0.4164421044525919,-0.007003974279979874,0.3216776985566544,ESHOCK_06_LOC1,15
77,0.37362036786240627,0.04222857657577008,0.3515960194974174,ESHOCK_06_LOC1,15
