true,session_name,n_units
0.7380988719675156,ESHOCK_03_LOC1,1
0.6796626137826823,ESHOCK_04_LOC1,1
0.4214645129475634,ESHOCK_06_LOC1,1
0.41369829767874344,ESHOCK_07_LOC1,1
1.0,ESHOCK_08_LOC1,1
0.8405816905065567,ESHOCK_09_LOC1,1
0.8092339031211264,hamilton_10,1
0.6209873095381635,hamilton_03,1
0.4686563436563437,hamilton_04,1
0.8992000000000001,hamilton_09,1
0.37246923150669836,acute_15,1
0.9385333602633542,acute_16,1
0.5879674143194246,acute_14,1
0.8482072332908741,acute_12,1
0.4958326009823025,acute_11,1
0.8462144205294111,ESHOCK_03_LOC1,2
0.6406854609321104,ESHOCK_04_LOC1,2
0.5573084533003636,ESHOCK_06_LOC1,2
0.4881224550188902,ESHOCK_07_LOC1,2
0.8187192981271337,ESHOCK_08_LOC1,2
0.8275012850284631,ESHOCK_09_LOC1,2
0.8094514464129838,hamilton_10,2
0.7611278327741676,hamilton_03,2
0.5140748197937137,hamilton_04,2
0.5908905192963023,hamilton_09,2
0.614510221102331,acute_15,2
0.7467565604107806,acute_16,2
0.5392701460783436,acute_14,2
0.6321647768550979,acute_12,2
0.7504543067684369,acute_11,2
0.8571203588301752,ESHOCK_03_LOC1,3
0.689279016286136,ESHOCK_04_LOC1,3
0.5951203331270152,ESHOCK_06_LOC1,3
0.8332552824082982,ESHOCK_07_LOC1,3
0.5296094101019918,ESHOCK_08_LOC1,3
0.8542096077987406,ESHOCK_09_LOC1,3
0.64381974472891,hamilton_10,3
0.7829822037466716,hamilton_03,3
0.7364013437196022,hamilton_04,3
0.7374732111077625,hamilton_09,3
0.574513948097974,acute_15,3
0.9362218265297895,acute_16,3
0.6218777738206943,acute_14,3
0.7555555555555555,acute_12,3
0.8201591859841457,acute_11,3
0.8817339855674604,ESHOCK_03_LOC1,4
0.7612093312507439,ESHOCK_04_LOC1,4
0.6143487496569922,ESHOCK_06_LOC1,4
0.9279502416686558,ESHOCK_07_LOC1,4
0.9805070804338364,ESHOCK_08_LOC1,4
0.9011243190093797,ESHOCK_09_LOC1,4
0.8308980358463977,hamilton_10,4
0.7579433745719655,hamilton_03,4
0.7502061367994343,hamilton_04,4
0.8072134093179113,hamilton_09,4
0.680793217445341,acute_15,4
0.967554661322138,acute_16,4
0.6393923396251324,acute_14,4
0.5836704420774883,acute_12,4
0.8353318641479348,acute_11,4
0.9148584438493048,ESHOCK_03_LOC1,5
0.7148549120947718,ESHOCK_04_LOC1,5
0.7290300030923265,ESHOCK_06_LOC1,5
0.9144408722236588,ESHOCK_07_LOC1,5
0.9853316514502112,ESHOCK_08_LOC1,5
0.8867718426941039,ESHOCK_09_LOC1,5
0.923729851883478,hamilton_10,5
0.7871324752780653,hamilton_03,5
0.7267104830561255,hamilton_04,5
0.8270263893437105,hamilton_09,5
0.6989211486755504,acute_15,5
0.9425996868183052,acute_16,5
0.637870586585368,acute_14,5
0.8737052269430334,acute_12,5
0.811741167115666,acute_11,5
0.8496407536850036,ESHOCK_04_LOC1,6
0.7004550134656916,ESHOCK_06_LOC1,6
0.8740909657403735,ESHOCK_07_LOC1,6
0.9739986280419435,ESHOCK_08_LOC1,6
0.9270060868204988,ESHOCK_09_LOC1,6
0.9151436634620413,hamilton_10,6
0.7632938504330855,hamilton_03,6
0.7666641242457759,hamilton_04,6
0.7570631234294647,hamilton_09,6
