ensemble_orig,size,average_degree,average_weight,normalized_cut_size,internal_density,cut_size,conductance,edge_expantion,average_degree_p,average_weight_p,normalized_cut_size_p,conductance_p,edge_expantion_p,ensemble,session_name,state,bin_width,ensemble_id,prop_total,prop_total_SIR,comp_SIR,prop_total_SR,comp_SR,prop_total_FF,comp_FF,neuron_type_entropy,response_bs_entropy
1,4,0.5508232802535458,0.1101646560507091,0.5464057117754236,0.1836077600845152,1.136509007481894,0.5077882090667466,0.2841272518704735,1.0,1.0,0.1111111111111111,0.5061728395061729,0.0,1,acute_14,sw,1.0,166,0.21052631578947367,0.16666666666666666,0.25,0.125,0.75,,,0.8112781244591328,0.0
2,10,3.7420132729955617,0.2398726457048437,0.3966762254895865,0.4157792525550624,2.7447506074297867,0.2687445535037695,0.3049722897144207,0.0,1.0,0.0185185185185185,0.037037037037037,0.0,2,acute_14,sw,1.0,167,0.5263157894736842,0.3333333333333333,0.2,0.25,0.6,0.25,0.2,1.370950594454669,0.8812908992306927
1,4,0.5508232802535458,0.1101646560507091,0.5464057117754236,0.1836077600845152,1.136509007481894,0.5077882090667466,0.2841272518704735,1.0,1.0,0.1111111111111111,0.5061728395061729,0.0,1,acute_12,sw,1.0,169,0.0,,,,,,,0.0,0.0
2,10,3.7420132729955617,0.2398726457048437,0.3966762254895865,0.4157792525550624,2.7447506074297867,0.2687445535037695,0.3049722897144207,0.0,1.0,0.0185185185185185,0.037037037037037,0.0,2,acute_12,sw,1.0,170,0.0,,,,,,,0.0,0.8812908992306927
1,9,3.328584728465823,0.2269489587590334,0.4135959777968904,0.4160730910582279,7.598253347302159,0.3365501251999284,0.8442503719224621,0.425531914893617,0.9574468085106383,0.0,0.0,0.0,1,acute_11,sw,1.0,172,0.2647058823529412,0.044444444444444446,0.2222222222222222,0.16666666666666666,0.2222222222222222,0.2,0.5555555555555556,1.4355205042826666,1.5304930567574826
2,7,5.386026874360449,0.4488355728633708,0.4651428762234503,0.8976711457267416,10.29738527267757,0.3532734985952095,1.4710550389539383,0.0,0.3723404255319149,0.0,0.0,0.0354609929078014,2,acute_11,sw,1.0,173,0.20588235294117646,0.044444444444444446,0.2857142857142857,0.08333333333333333,0.14285714285714285,0.16,0.5714285714285714,1.3787834934861756,0.8631205685666311
3,6,5.8906054138899,0.5890605413889901,0.2685786309626894,1.17812108277798,4.939993814548144,0.2184696316777052,0.8233323024246907,0.0,0.3723404255319149,0.0,0.0,0.0,3,acute_11,sw,1.0,174,0.17647058823529413,0.1111111111111111,0.8333333333333334,0.08333333333333333,0.16666666666666666,,,0.6500224216483541,0.6500224216483541
0,12,11.586921437076034,0.5266782471398197,0.4489641850523776,1.0533564942796394,7.598627852963532,0.3504344594885372,0.690784350269412,0.0,0.4266666666666667,0.0,0.0533333333333333,0.0,0,ESHOCK_04_LOC1,act,1.0,176,0.5217391304347826,0.375,0.75,0.08333333333333333,0.08333333333333333,0.2,0.16666666666666666,1.0408520829727552,0.4138168503036338
1,3,0.8920161173470386,0.2230040293367596,0.667149302500481,0.4460080586735193,2.398622150759117,0.6419184319288531,0.7995407169197057,1.0,1.0,0.0666666666666666,0.76,0.0,1,ESHOCK_04_LOC1,act,1.0,177,0.13043478260869565,0.08333333333333333,0.6666666666666666,,,0.1,0.3333333333333333,0.9182958340544894,1.584962500721156
2,5,2.36725203034782,0.2959065037934775,0.6257232121976192,0.591813007586955,7.048930880006093,0.5436028182478835,1.4097861760012187,1.0,1.0,0.0,0.6577777777777778,0.04,2,ESHOCK_04_LOC1,act,1.0,178,0.21739130434782608,0.041666666666666664,0.2,0.16666666666666666,0.4,0.2,0.4,1.5219280948873626,0.7219280948873623
3,3,2.241502923888852,0.560375730972213,0.3420531657380986,1.120751461944426,1.6174876819371826,0.3248135465500861,0.5391625606457275,1.0,0.4266666666666667,0.0,0.0,0.0,3,ESHOCK_04_LOC1,act,1.0,179,0.13043478260869565,,,0.25,1.0,,,0.0,0.0
0,9,3.4955899504650865,0.2313258055454836,0.1395557544916771,0.4369487438081358,1.464992847236697,0.0851980383793777,0.1627769830262997,0.01875,0.8875,0.0,0.0,0.0,0,ESHOCK_06_LOC1,act,1.0,180,0.4090909090909091,0.4,0.4444444444444444,0.14285714285714285,0.4444444444444444,0.16666666666666666,0.1111111111111111,1.3921472236645347,1.3516441151533924
2,6,3.54362483969504,0.3543624839695039,0.3442921384501802,0.708724967939008,3.280247666876265,0.235800363408969,0.5467079444793775,0.01875,0.3375,0.0,0.0,0.0,2,ESHOCK_06_LOC1,act,1.0,182,0.2727272727272727,,,0.21428571428571427,1.0,,,0.0,0.6500224216483541
0,24,8.49932365598218,0.2360923237772828,0.323329297073511,0.3695358111296599,11.041743492699252,0.2256438228464977,0.920145291058271,0.0,0.988095238095238,0.0,0.0,0.0,0,ESHOCK_09_LOC1,act,1.0,185,0.6666666666666666,0.25,0.16666666666666666,0.3888888888888889,0.5833333333333334,0.3,0.25,1.3844315043405981,1.122607968400632
1,12,6.315441575321976,0.3323916618590513,0.3233292970735111,0.5741310523019978,11.041743492699258,0.2256438228464979,0.9201452910582716,0.0,0.7619047619047619,0.0,0.0,0.0,1,ESHOCK_09_LOC1,act,1.0,186,0.3333333333333333,0.25,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.2,0.3333333333333333,1.584962500721156,1.2806721295208872
0,13,11.093709434289435,0.4622378930953931,0.6605275235376024,0.9244757861907864,25.44806011242884,0.3996747360077449,1.957543085571449,0.0,0.6585365853658537,0.0,0.0,0.0,0,acute_15,act,1.0,191,0.43333333333333335,0.2,0.3076923076923077,0.2,0.46153846153846156,0.3,0.23076923076923078,1.5262349099495225,0.6193821946787638
1,4,2.1545398693241027,0.3590899782206838,0.517559789905549,0.7181799564413676,4.146978589758183,0.4904150880590855,1.0367446474395456,0.9878048780487804,1.0,0.0,0.2113821138211382,0.0,1,acute_15,act,1.0,192,0.13333333333333333,,,0.13333333333333333,1.0,,,0.0,0.8112781244591328
2,7,2.305491347427949,0.1921242789523291,0.7077615451640604,0.3842485579046582,12.923049477579577,0.615609935181919,1.8461499253685107,0.9878048780487804,1.0,0.0121951219512195,0.5,0.0,2,acute_15,act,1.0,193,0.23333333333333334,0.15,0.42857142857142855,0.13333333333333333,0.5714285714285714,,,0.9852281360342515,0.5916727785823274
2,5,1.8695162241957264,0.2336895280244658,0.1360488757769955,0.4673790560489316,0.6278940483925382,0.1184329311744863,0.1255788096785076,0.5342465753424658,0.8493150684931506,0.0,0.0,0.0,2,acute_14,act,1.0,197,0.2631578947368421,0.16666666666666666,0.2,0.16666666666666666,0.8,,,0.7219280948873623,0.0
1,7,2.5846465578323765,0.215387213152698,0.7812761994515377,0.4307744263053961,21.32584262202743,0.702152261711283,3.046548946003919,1.0,1.0,0.1348314606741573,0.9887640449438202,0.0,1,acute_12,act,1.0,199,0.1794871794871795,0.2,0.42857142857142855,0.16666666666666666,0.5714285714285714,,,0.9852281360342515,1.1488348542809168
3,3,1.4611735027220445,0.365293375680511,0.6720547240315966,0.7305867513610221,4.211382980322118,0.6577055714908322,1.4037943267740394,1.0,1.0,0.0,0.9887640449438202,0.0,3,acute_12,act,1.0,200,0.07692307692307693,,,0.125,1.0,,,0.0,0.9182958340544894
4,3,1.1254072026718551,0.2813518006679638,0.7448714870821287,0.5627036013359277,4.54978240449559,0.729378053201266,1.5165941348318634,1.0,1.0,0.0224719101123595,0.9887640449438202,0.0,4,acute_12,act,1.0,201,0.07692307692307693,0.13333333333333333,0.6666666666666666,0.041666666666666664,0.3333333333333333,,,0.9182958340544894,0.9182958340544894
5,22,20.648989455041495,0.4959364279595118,0.6536329133539583,0.9832852121448332,25.86018383964848,0.5514183713799103,1.5211872846852046,0.0,1.0,0.0,0.5393258426966292,0.0,5,acute_12,act,1.0,202,0.5641025641025641,0.5333333333333333,0.36363636363636365,0.5833333333333334,0.6363636363636364,,,0.9456603046006401,1.351687125804361
