community,size,average_degree,average_weight,average_weight_out,volume,normalized_cut_size,internal_density,cut_size,conductance,edge_expantion,modularity,session_name,ensemble_id,prop_total,prop_total_SIR,comp_SIR,prop_total_SR,comp_SR,prop_total_FF,comp_FF,neuron_type_entropy,fs_slow_entropy,fs_fast_entropy,bs_entropy
-1,5,1.7491786479303932,0.5466183274782479,,8.745893239651966,,0.4372946619825983,0.0,,,2.220446049250313e-16,ESHOCK_03_LOC1,-1,1.0,1.0,0.6,1.0,0.2,1.0,0.2,1.370950594454669,1.4949188482339508,1.4949188482339508,1.34542234250043
2,4,0.930671745819106,0.31022391527303533,0.16611730250636905,9.869027176012079,0.6953551471734116,0.31022391527303533,6.146340192735656,0.6227908874012542,1.536585048183914,0.1484764926028031,ESHOCK_04_LOC1,1,0.17391304347826086,0.08333333333333333,0.25,0.3333333333333333,0.5,0.2,0.25,1.5,,,0.8112781244591328
3,10,4.37156199843421,0.48572911093713445,0.22803618363942332,59.45011665546232,0.712676175911152,0.48572911093713445,15.734496671120212,0.44800896319047645,1.5734496671120213,0.1484764926028031,ESHOCK_04_LOC1,2,0.43478260869565216,0.5833333333333334,0.7,0.16666666666666666,0.1,0.4,0.2,1.1567796494470395,,,0.46899559358928117
4,3,1.147001583610249,0.5735007918051245,0.15081356071596697,4.79832679727445,0.2979935676763762,0.5735007918051245,1.3573220464437026,0.2828740316759354,0.45244068214790084,0.1484764926028031,ESHOCK_04_LOC1,3,0.13043478260869565,,,0.5,1.0,,,0.0,,,0.0
8,3,0.5635010641603958,0.2817505320801979,0.11325360339807784,3.389307243452355,0.5422596951108332,0.2817505320801979,1.6988040509711677,0.5012245656551227,0.5662680169903892,0.2765526468876891,ESHOCK_06_LOC1,5,0.13636363636363635,,,0.21428571428571427,1.0,,,0.0,,,0.0
5,5,1.0773371223943093,0.26933428059857734,0.09516034094727711,8.051175158495306,0.4034731369544083,0.26933428059857734,2.6644895465237592,0.33094417821878924,0.5328979093047519,0.2765526468876891,ESHOCK_06_LOC1,6,0.22727272727272727,0.6,0.6,0.14285714285714285,0.4,,,0.9709505944546688,,,0.7219280948873623
2,9,1.6038690042203574,0.300725438291317,0.13082528174710575,26.33992167696984,0.5424822388994944,0.20048362552754467,11.905100638986623,0.45197934849577703,1.3227889598874025,0.33884600053168556,ESHOCK_08_LOC1,9,0.3,0.1,0.1111111111111111,0.4,0.4444444444444444,0.4,0.4444444444444444,1.3921472236645347,,,0.9864267287308426
3,10,4.3101361454336535,0.47890401615929484,0.13378514875829128,55.00823969382446,0.3321968662738927,0.47890401615929484,11.906878239487916,0.21645626738396886,1.1906878239487917,0.33884600053168556,ESHOCK_08_LOC1,10,0.3333333333333333,0.2,0.2,0.5,0.5,0.3,0.3,1.4854752972273346,,,0.0
4,11,5.14756239489742,0.514756239489742,0.13638661679241967,76.53563239556489,0.5049527586136062,0.514756239489742,19.912446051693273,0.2601722286526395,1.8102223683357521,0.33884600053168556,ESHOCK_08_LOC1,11,0.36666666666666664,0.7,0.6363636363636364,0.1,0.09090909090909091,0.3,0.2727272727272727,1.2406705316766884,,,0.6840384356390417
5,16,6.219345132705783,0.4403076200145687,0.1870912624761648,138.23741345585864,0.6228032183040587,0.4146230088470522,38.727891332566145,0.34264829957120385,2.420493208285384,0.19217940034197872,ESHOCK_09_LOC1,12,0.4444444444444444,0.25,0.125,0.4444444444444444,0.5,0.6,0.375,1.4056390622295665,,,1.2475562489182657
6,5,0.7398162770549407,0.20550452140415018,0.134426842040187,12.571252959927044,0.7429208374000722,0.18495406926373517,8.872171574652342,0.7057507794118741,1.7744343149304682,0.19217940034197872,ESHOCK_09_LOC1,13,0.1388888888888889,0.25,0.4,0.1111111111111111,0.4,0.1,0.2,1.5219280948873626,,,0.9709505944546688
7,15,4.128215561341827,0.29770785298138175,0.1936216580603151,100.45394337413012,0.6390599309863164,0.2948725400958448,38.53070995400274,0.38356592742705153,2.568713996933516,0.19217940034197872,ESHOCK_09_LOC1,14,0.4166666666666667,0.5,0.26666666666666666,0.4444444444444444,0.5333333333333333,0.3,0.2,1.4565647621309543,,,0.0
2,8,0.735893087350486,0.19623815662679625,0.13010237626748838,7.578475590281236,0.3119365313716169,0.10512758390721229,1.691330891477349,0.22317560719550777,0.21141636143466863,0.28015253675747104,hamilton_04,17,0.5,0.5714285714285714,0.5,0.375,0.375,1.0,0.125,1.4056390622295665,1.4056390622295665,1.4056390622295665,0.954434002924965
3,8,2.1704466418752206,0.31006380598217437,0.13010237626748838,19.05490402647911,0.311936531371617,0.31006380598217437,1.6913308914773495,0.22317560719550783,0.2114163614346687,0.28015253675747104,hamilton_04,18,0.5,0.42857142857142855,0.375,0.625,0.625,,,0.954434002924965,0.0,0.0,0.5435644431995964
6,6,1.10480457133193,0.2762011428329825,0.12260843857926537,8.46795400668056,0.33050620730723784,0.220960914266386,1.8391265786889803,0.21718665184506808,0.3065210964481634,0.3016861007730465,hamilton_09,20,0.4,,,0.5,0.5,0.42857142857142855,0.5,1.0,0.0,0.0,
8,6,0.5825682691790409,0.13443883134900944,0.04761998465550669,6.066888786471607,0.4367413714046824,0.1165136538358082,2.5714791713973613,0.42385467443072866,0.4285798618995602,0.11668564614351729,hamilton_31,21,0.11538461538461539,0.1,0.6666666666666666,0.1,0.16666666666666666,0.5,0.16666666666666666,1.2516291673878228,1.2516291673878228,1.2516291673878228,
