ensemble_orig,size,average_degree,average_weight,average_weight_out,volume,normalized_cut_size,internal_density,cut_size,conductance,edge_expantion,modularity,average_degree_p,average_weight_p,normalized_cut_size_p,conductance_p,edge_expantion_p,ensemble,session_name,block,bin_width,ensemble_id
0,7,0.31423340595643534,0.05499084604237618,0.03579189715050482,2.879679887554639,0.6330375273138044,0.052372234326072555,0.6800460458595916,0.39688417957588207,0.0971494351227988,0.1429817566379569,0.0,0.8214285714285714,1.0,1.0,0.6071428571428571,-1,hamilton_04,pre,0.05,-1
1,2,0.020282380831000594,0.020282380831000594,0.007410500118591334,0.047975261780592526,0.15609544047955923,0.020282380831000594,0.007410500118591334,0.1544650272567999,0.003705250059295667,0.1429817566379569,1.0,1.0,0.0,0.0,0.0,-1,hamilton_04,pre,0.05,-1
2,2,0.05774952146875133,0.05774952146875133,0.021046624711865115,0.3259652900561538,0.6949928604573805,0.05774952146875133,0.21046624711865114,0.6456707310229082,0.10523312355932557,0.1429817566379569,1.0,0.8214285714285714,1.0,1.0,0.6071428571428571,-1,hamilton_04,pre,0.05,-1
3,1,0.0,,0.008180376209409082,0.024541128628227243,1.0053716944777042,,0.024541128628227243,1.0,0.024541128628227243,0.1429817566379569,1.0,0.0,1.0,1.0,0.0,-1,hamilton_04,pre,0.05,-1
4,4,0.12667324618439632,0.05066929847375853,0.03848988337468528,1.3149805356059763,0.8612437691426394,0.04222441539479877,0.8082875508683909,0.614676437393738,0.20207188771709772,0.1429817566379569,1.0,0.8214285714285714,1.0,1.0,0.9428571428571428,-1,hamilton_04,pre,0.05,-1
0,3,0.45536031794983584,0.22768015897491792,0.019345561445361963,1.8497199899835568,0.5032060626130647,0.22768015897491792,0.48363903613404907,0.2614660806787023,0.16121301204468302,0.3505005788541924,0.4166666666666667,0.5,0.3333333333333333,0.3055555555555556,0.8888888888888888,-1,hamilton_09,pre,0.05,-1
1,6,0.10104410612632973,0.02331787064453763,0.013988897164229346,0.914020374371024,0.44151422454434813,0.020208821225265947,0.3077557376130456,0.33670555519599366,0.0512926229355076,0.3505005788541924,0.6944444444444444,0.8333333333333334,0.3333333333333333,0.3055555555555556,0.041666666666666664,-1,hamilton_09,pre,0.05,-1
2,6,0.13157659053496598,0.032894147633741495,0.01564095330808323,1.0866376560633773,0.38101159967519405,0.026315318106993193,0.2971781128535814,0.273484092139955,0.049529685475596906,0.3505005788541924,0.6944444444444444,0.8333333333333334,0.3333333333333333,0.3055555555555556,0.0,-1,hamilton_09,pre,0.05,-1
0,15,0.19968083615881208,0.016278329034685766,0.01229372972608116,7.248843027606262,0.8973149214940501,0.014262916868486577,4.2536304852240825,0.5868012962930349,0.2835753656816055,0.07430444368695635,0.0660377358490566,1.0,1.0,0.33018867924528306,0.6226415094339622,-1,hamilton_31,pre,0.05,-1
1,1,0.0,,0.004348176835850763,0.03043723785095534,1.0014551367636695,,0.03043723785095534,1.0,0.03043723785095534,0.07430444368695635,1.0,0.0,1.0,1.0,0.0,-1,hamilton_31,pre,0.05,-1
2,20,0.24445967858688364,0.01597775677038455,0.012006722797340361,9.57181546270041,0.9008424095778322,0.012866298872993877,4.682621890962742,0.489209378221932,0.2341310945481371,0.07430444368695635,0.0,1.0,1.0,0.0,0.29056603773584905,-1,hamilton_31,pre,0.05,-1
3,7,0.0678702679313788,0.013196996542212545,0.010086567596113103,2.230154637243331,0.8807355627930172,0.011311711321896466,1.75506276172368,0.7869690883377904,0.2507232516748114,0.07430444368695635,1.0,1.0,1.0,1.0,0.4402515723270441,-1,hamilton_31,pre,0.05,-1
4,3,0.012562208028356081,0.009421656021267062,0.007882283109478527,0.5263881768727368,0.9523364123944527,0.006281104014178041,0.48870155278766864,0.9284052610965472,0.16290051759588955,0.07430444368695635,1.0,1.0,1.0,1.0,0.0,-1,hamilton_31,pre,0.05,-1
5,3,0.09484265872629001,0.047421329363145005,0.008716191230784084,0.8249318324874833,0.6819446696194151,0.047421329363145005,0.5404038563086134,0.6550891055799002,0.18013461876953782,0.07430444368695635,1.0,0.33018867924528306,0.0,1.0,0.0,-1,hamilton_31,pre,0.05,-1
6,3,0.017614360604496244,0.013210770453372182,0.007832567460819563,0.5149645620018429,0.920001916922367,0.008807180302248122,0.4621214801883543,0.8973850130423159,0.1540404933961181,0.07430444368695635,1.0,1.0,1.0,1.0,0.0,-1,hamilton_31,pre,0.05,-1
