ensemble_orig,size,average_degree,average_weight,average_weight_out,volume,normalized_cut_size,internal_density,cut_size,conductance,edge_expantion,modularity,average_degree_p,average_weight_p,normalized_cut_size_p,conductance_p,edge_expantion_p,ensemble,session_name,state,bin_width,ensemble_id
0,4,0.13336798205668782,0.13336798205668782,0.006408780861813321,0.5398807090885646,1.011870735060404,0.04445599401889594,0.006408780861813321,1.0,0.006408780861813321,-0.00027525495703687624,0.38095238095238093,0.23809523809523808,0.42857142857142855,0.8095238095238095,0.7142857142857143,-1,ESHOCK_03_LOC1,sw,0.05,-1
1,1,0.0,,0.006408780861813321,0.006408780861813321,1.011870735060404,,0.006408780861813321,1.0,0.006408780861813321,-0.00027525495703687624,1.0,0.0,0.42857142857142855,0.8095238095238095,0.7142857142857143,-1,ESHOCK_03_LOC1,sw,0.05,-1
0,7,0.19444973358062126,0.037809670418454136,0.013854488380109397,2.1647084611106937,0.6589230217325475,0.03240828893010354,0.8035603260463449,0.37120949101573003,0.11479433229233497,0.23024306868896793,0.0,0.29268292682926833,0.2926829268292683,0.024390243902439025,0.5121951219512195,-1,ESHOCK_04_LOC1,sw,0.05,-1
1,12,0.1190387044167629,0.015196430351076115,0.013314084248726002,2.267251760670893,0.6817311307933108,0.0108217004015239,0.8387873076697382,0.369957726892022,0.07625339160633983,0.23024306868896793,0.32926829268292684,1.0,0.2926829268292683,0.024390243902439025,0.03658536585365854,-1,ESHOCK_04_LOC1,sw,0.05,-1
2,4,0.09741501786737297,0.038966007146949186,0.01046202020152451,0.5256663340893105,0.28941877329027116,0.032471672622457655,0.1360062626198186,0.25873116423832304,0.03400156565495465,0.23024306868896793,0.5365853658536586,0.29268292682926833,0.0,0.0,0.0,-1,ESHOCK_04_LOC1,sw,0.05,-1
0,8,0.13922817035135093,0.025314212791154714,0.020447839940768806,1.6045735213892587,0.41678219590887894,0.01988973862162156,0.4907481585784513,0.30584336089103337,0.06134351982230641,0.2635690742242286,0.6585365853658537,1.0,0.0,0.0,0.0,-1,ESHOCK_06_LOC1,sw,0.05,-1
1,6,0.09926214961015449,0.019852429922030897,0.015604479917592102,1.1261252148590581,0.5793617527567311,0.019852429922030897,0.5305523171981315,0.4711308389134449,0.08842538619968858,0.2635690742242286,0.8536585365853658,1.0,0.4390243902439024,0.6097560975609756,0.2195121951219512,-1,ESHOCK_06_LOC1,sw,0.05,-1
2,8,0.29008296484012946,0.048347160806688244,0.020350066795297894,3.2974669248953346,0.6539401728502972,0.04144042354858992,0.9768032061742987,0.35771181683568654,0.12210040077178734,0.2635690742242286,0.0,1.0,0.7560975609756098,0.1097560975609756,0.6341463414634146,-1,ESHOCK_06_LOC1,sw,0.05,-1
0,10,0.6901795854881088,0.09326751155244713,0.01745352042065618,7.111238099928961,0.46816816501834657,0.07668662060978987,0.20944224504787415,0.4387158752616633,0.06981408168262472,0.0627051170466752,0.0,0.9090909090909091,0.09090909090909091,0.696969696969697,0.0,-1,ESHOCK_07_LOC1,sw,0.05,-1
1,3,0.08931870930877833,0.06698903198158375,0.01745352042065618,0.4773983729742092,0.4681681650183466,0.044659354654389166,0.20944224504787418,0.43871587526166334,0.06981408168262472,0.0627051170466752,0.9696969696969697,0.9090909090909091,0.09090909090909091,0.696969696969697,0.0,-1,ESHOCK_07_LOC1,sw,0.05,-1
0,13,0.8841566157823733,0.07981969448035314,0.07540985946291733,24.08748253547805,0.7741713978771635,0.07367971798186443,12.59344653030719,0.5228212002544689,0.9687266561774762,0.12770620906744684,1.0,1.0,1.0,0.7272727272727273,0.1515151515151515,-1,ESHOCK_08_LOC1,sw,0.05,-1
1,4,0.3702127163338749,0.12340423877795831,0.048706877650208646,4.695504790249271,0.7308809432043434,0.12340423877795831,3.2146539249137716,0.6846237132138278,0.8036634812284429,0.12770620906744684,1.0,1.0,1.0,0.9772727272727273,0.09090909090909091,-1,ESHOCK_08_LOC1,sw,0.05,-1
2,9,2.6382245751808555,0.3392003025232529,0.09108997155000445,39.32040631167846,0.8428353248930206,0.32977807189760694,15.576385135050758,0.44669534069289674,1.7307094594500843,0.12770620906744684,0.0,1.0,1.0,0.36363636363636365,0.9318181818181818,-1,ESHOCK_08_LOC1,sw,0.05,-1
3,4,0.5530717938229179,0.18435726460763932,0.05381931966275501,6.087278191010032,0.6934706747004626,0.18435726460763932,3.874991015718359,0.6365720267953453,0.9687477539295898,0.12770620906744684,1.0,1.0,1.0,0.9772727272727273,0.1515151515151515,-1,ESHOCK_08_LOC1,sw,0.05,-1
0,17,1.612901471477744,0.12026019743474409,0.06459694140979727,41.63065212527706,0.6257912482314153,0.100806341967359,14.211327110155397,0.34136691078943354,0.8359604182444351,0.21877733545481068,0.07317073170731708,1.0,0.0,0.0,0.0,0,ESHOCK_09_LOC1,sw,0.05,5
1,14,2.136586285670951,0.17804885713924593,0.06378847238354703,43.945671923773666,0.613846674140757,0.1643527912054578,14.033463924380337,0.31933665614948836,1.0023902803128812,0.21877733545481068,0.0,1.0,0.0,0.0,0.04878048780487805,1,ESHOCK_09_LOC1,sw,0.05,6
2,5,0.621720842897225,0.15543021072430624,0.029703599076327022,6.019556923966173,0.5175984189814424,0.15543021072430624,2.910952709480048,0.4835825537076367,0.5821905418960096,0.21877733545481068,0.975609756097561,1.0,0.0,0.1951219512195122,0.0,2,ESHOCK_09_LOC1,sw,0.05,7
0,5,0.0,,,0.0,,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1,hamilton_10,sw,0.05,-1
1,3,0.12554133922134372,0.06277066961067186,,0.3766240176640312,,0.06277066961067186,0.0,,0.0,0.0,0.09090909090909091,0.6363636363636364,0.0,0.0,1.0,-1,hamilton_10,sw,0.05,-1
0,4,0.12505553944182085,0.041685179813940286,0.007672811710356984,0.5232405928983543,0.07574418828354909,0.041685179813940286,0.023018435131070953,0.043992066830224996,0.005754608782767738,0.4500602609593651,0.16666666666666666,0.6666666666666666,0.0,0.0,0.0,-1,hamilton_03,sw,0.05,-1
1,5,0.1403846418003069,0.050137372071538185,0.007672811710356984,0.7249416441326055,0.07574418828354909,0.03509616045007673,0.023018435131070953,0.043992066830224996,0.005754608782767738,0.4500602609593651,0.13333333333333333,0.6666666666666666,0.0,0.0,0.0,-1,hamilton_03,sw,0.05,-1
0,3,0.08208491593534183,0.04104245796767091,0.013872645238533534,0.35723590971429375,0.3493446228977315,0.04104245796767091,0.11098116190826827,0.3106663101059117,0.036993720636089425,0.28587213255769395,0.9761904761904762,0.8095238095238095,0.0,0.047619047619047616,0.0,-1,hamilton_04,sw,0.05,-1
1,7,0.22691440654003042,0.056728601635007606,0.01774210488031108,1.9255008385061236,0.43416510290658883,0.03781906775667174,0.3370999927259105,0.25909377290008234,0.04815714181798721,0.28587213255769395,0.0,0.8095238095238095,0.047619047619047616,0.0,0.047619047619047616,-1,hamilton_04,sw,0.05,-1
2,2,0.03543859327824736,0.03543859327824736,0.018381104535517983,0.19954491830512064,0.6873121287508288,0.03543859327824736,0.1286677317486259,0.6448058554509633,0.06433386587431295,0.28587213255769395,0.9761904761904762,0.8095238095238095,0.8333333333333334,0.9761904761904762,0.25396825396825395,-1,hamilton_04,sw,0.05,-1
3,4,0.09737647987134523,0.038950591948538095,0.019710364587014896,0.744292482051649,0.6196038684768751,0.032458826623781745,0.3547865625662681,0.4766762678944381,0.08869664064156703,0.28587213255769395,0.9761904761904762,0.8095238095238095,0.8253968253968254,0.7301587301587302,0.5238095238095238,-1,hamilton_04,sw,0.05,-1
0,5,0.1520798817732497,0.03801997044331242,0.01948980224515481,1.1891750582596543,0.43516669279016074,0.03801997044331242,0.4287756493934058,0.36056562607436,0.08575512987868115,0.21071808417755988,0.8648648648648649,0.7837837837837838,0.5405405405405406,0.7027027027027027,0.13513513513513514,-1,hamilton_09,sw,0.05,-1
1,7,0.6765309659773638,0.13928578711298667,0.018419860053657384,5.306732423504926,0.4579134677187688,0.11275516099622732,0.5710156616633789,0.3503113472247716,0.08157366595191128,0.21071808417755988,0.7297297297297298,0.7837837837837838,0.5405405405405406,0.7027027027027027,0.13513513513513514,-1,hamilton_09,sw,0.05,-1
2,3,0.0857333138642339,0.04286665693211695,0.014126793072798995,0.4408482515390886,0.44485080862075815,0.04286665693211695,0.18364830994638687,0.4165794222960718,0.06121610331546229,0.21071808417755988,0.8648648648648649,0.7837837837837838,0.5405405405405406,0.7027027027027027,0.0,-1,hamilton_09,sw,0.05,-1
0,14,1.7831687937690721,0.14347335122279892,0.011486273165531182,25.848806146512914,0.2808391513911091,0.13716683028992863,0.8844430337459012,0.24662314045687822,0.06317450241042151,0.15388770663389528,0.0,0.8695652173913043,0.0,0.021739130434782608,0.0,0,acute_15,sw,0.05,12
1,16,0.16886060295627026,0.014219840248949074,0.011486273165531179,3.586212681046226,0.28083915139110915,0.011257373530418018,0.8844430337459013,0.24662314045687825,0.06317450241042152,0.15388770663389528,1.0,1.0,0.0,0.021739130434782608,0.0,-1,acute_15,sw,0.05,-1
0,5,0.44754967209480717,0.11188741802370179,0.029076818625423658,3.255437012363864,0.7333374334141907,0.11188741802370179,1.017688651889828,0.42072544060808326,0.2035377303779656,0.14994538584315717,0.0,0.9743589743589743,1.0,0.9743589743589743,0.7692307692307693,-1,acute_16,sw,0.05,-1
1,3,0.03704292583376708,0.027782194375325312,0.009840716316259992,0.21937665698016112,0.5132778709874748,0.01852146291688354,0.10824787947885992,0.4934339002560746,0.0360826264929533,0.14994538584315717,1.0,0.9743589743589743,1.0,0.9743589743589743,0.0,-1,acute_16,sw,0.05,-1
2,4,0.07618889341957485,0.03047555736782994,0.01927074272726503,0.9021485982235152,0.7873716147904264,0.025396297806524953,0.5973930245452159,0.6621891623193616,0.14934825613630398,0.14994538584315717,1.0,0.9743589743589743,1.0,0.9743589743589743,0.7692307692307693,-1,acute_16,sw,0.05,-1
3,4,0.1283581156362184,0.042786038545406135,0.02375553024864997,1.2973649607503226,0.7833540241851114,0.042786038545406135,0.7839324982054492,0.6042497846959478,0.1959831245513623,0.14994538584315717,1.0,0.9743589743589743,1.0,0.9743589743589743,0.7692307692307693,-1,acute_16,sw,0.05,-1
0,5,0.04184964754033506,0.013078014856354705,0.005431463245819834,0.34503481884717113,0.4405881594587728,0.010462411885083765,0.13578658114549585,0.3935445750060397,0.02715731622909917,0.2922992385727037,0.925,0.975,0.075,0.275,0.037500000000000006,-1,acute_14,sw,0.05,-1
1,11,0.18694457681188703,0.022848781610341748,0.007878356153132928,2.2769843172184787,0.3280014281770375,0.018694457681188704,0.22059397228772193,0.23112154603661264,0.02757424653596524,0.2922992385727037,0.0,0.9375,0.0,0.07500000000000001,0.037500000000000006,-1,acute_14,sw,0.05,-1
2,3,0.1450407434603642,0.0725203717301821,0.01025252974145234,0.6094152359857823,0.35247322695571803,0.0725203717301821,0.17429300560468977,0.28600040713251224,0.05809766853489659,0.2922992385727037,0.037500000000000006,0.15000000000000002,0.0,0.11249999999999999,0.3,-1,acute_14,sw,0.05,-1
0,12,0.23976923762680516,0.027143687278506246,0.02214908069888016,6.886214458018971,0.7742194521288444,0.021797203420618652,4.00898360649731,0.5821752475090088,0.3340819672081092,0.16791396121303087,0.7954545454545454,1.0,0.4090909090909091,0.5454545454545454,0.10227272727272727,-1,acute_12,sw,0.05,-1
1,21,0.6173860950086908,0.03662459885644776,0.022603488445247975,17.57621963801309,0.7150711610689137,0.03086930475043454,4.611111642830586,0.4527217060781559,0.3074074428553724,0.16791396121303087,0.375,1.0,0.40909090909090906,0.44318181818181823,0.06818181818181818,-1,acute_12,sw,0.05,-1
