neuron_id,ensemble,sig,ensemble_orig,session_name,shuffle,bin_width
4,-1,False,0,ESHOCK_03_LOC1,False,0.05
6,-1,False,0,ESHOCK_03_LOC1,False,0.05
8,-1,False,0,ESHOCK_03_LOC1,False,0.05
1,-1,False,1,ESHOCK_03_LOC1,False,0.05
5,-1,False,1,ESHOCK_03_LOC1,False,0.05
9,-1,False,0,ESHOCK_04_LOC1,False,0.05
12,-1,False,0,ESHOCK_04_LOC1,False,0.05
17,-1,False,0,ESHOCK_04_LOC1,False,0.05
18,-1,False,0,ESHOCK_04_LOC1,False,0.05
45,-1,False,0,ESHOCK_04_LOC1,False,0.05
31,-1,False,0,ESHOCK_04_LOC1,False,0.05
32,-1,False,0,ESHOCK_04_LOC1,False,0.05
33,-1,False,0,ESHOCK_04_LOC1,False,0.05
44,-1,False,0,ESHOCK_04_LOC1,False,0.05
35,-1,False,0,ESHOCK_04_LOC1,False,0.05
46,-1,False,0,ESHOCK_04_LOC1,False,0.05
43,-1,False,0,ESHOCK_04_LOC1,False,0.05
39,-1,False,0,ESHOCK_04_LOC1,False,0.05
40,-1,False,0,ESHOCK_04_LOC1,False,0.05
27,-1,False,1,ESHOCK_04_LOC1,False,0.05
41,-1,False,1,ESHOCK_04_LOC1,False,0.05
36,-1,False,2,ESHOCK_04_LOC1,False,0.05
22,-1,False,2,ESHOCK_04_LOC1,False,0.05
47,-1,False,2,ESHOCK_04_LOC1,False,0.05
42,-1,False,3,ESHOCK_04_LOC1,False,0.05
37,-1,False,3,ESHOCK_04_LOC1,False,0.05
34,-1,False,3,ESHOCK_04_LOC1,False,0.05
38,-1,False,3,ESHOCK_04_LOC1,False,0.05
60,-1,False,0,ESHOCK_06_LOC1,False,0.05
49,-1,False,0,ESHOCK_06_LOC1,False,0.05
75,-1,False,0,ESHOCK_06_LOC1,False,0.05
59,-1,False,0,ESHOCK_06_LOC1,False,0.05
57,-1,False,0,ESHOCK_06_LOC1,False,0.05
74,-1,False,1,ESHOCK_06_LOC1,False,0.05
48,-1,False,1,ESHOCK_06_LOC1,False,0.05
52,-1,False,1,ESHOCK_06_LOC1,False,0.05
50,-1,False,1,ESHOCK_06_LOC1,False,0.05
55,-1,False,1,ESHOCK_06_LOC1,False,0.05
54,-1,False,2,ESHOCK_06_LOC1,False,0.05
73,-1,False,2,ESHOCK_06_LOC1,False,0.05
58,-1,False,3,ESHOCK_06_LOC1,False,0.05
62,-1,False,3,ESHOCK_06_LOC1,False,0.05
70,-1,False,3,ESHOCK_06_LOC1,False,0.05
71,-1,False,3,ESHOCK_06_LOC1,False,0.05
77,-1,False,3,ESHOCK_06_LOC1,False,0.05
76,-1,False,4,ESHOCK_06_LOC1,False,0.05
63,-1,False,4,ESHOCK_06_LOC1,False,0.05
64,-1,False,4,ESHOCK_06_LOC1,False,0.05
69,-1,False,4,ESHOCK_06_LOC1,False,0.05
51,-1,False,4,ESHOCK_06_LOC1,False,0.05
92,-1,False,0,ESHOCK_07_LOC1,False,0.05
94,-1,False,0,ESHOCK_07_LOC1,False,0.05
95,-1,False,0,ESHOCK_07_LOC1,False,0.05
81,-1,False,1,ESHOCK_07_LOC1,False,0.05
82,-1,False,1,ESHOCK_07_LOC1,False,0.05
84,-1,False,1,ESHOCK_07_LOC1,False,0.05
85,-1,False,1,ESHOCK_07_LOC1,False,0.05
86,-1,False,1,ESHOCK_07_LOC1,False,0.05
88,-1,False,1,ESHOCK_07_LOC1,False,0.05
89,-1,False,1,ESHOCK_07_LOC1,False,0.05
90,-1,False,1,ESHOCK_07_LOC1,False,0.05
91,-1,False,1,ESHOCK_07_LOC1,False,0.05
93,-1,False,1,ESHOCK_07_LOC1,False,0.05
111,-1,False,0,ESHOCK_08_LOC1,False,0.05
125,-1,False,0,ESHOCK_08_LOC1,False,0.05
107,-1,False,0,ESHOCK_08_LOC1,False,0.05
126,-1,False,1,ESHOCK_08_LOC1,False,0.05
127,-1,False,1,ESHOCK_08_LOC1,False,0.05
128,-1,False,1,ESHOCK_08_LOC1,False,0.05
98,-1,False,1,ESHOCK_08_LOC1,False,0.05
99,-1,False,1,ESHOCK_08_LOC1,False,0.05
115,4,True,2,ESHOCK_08_LOC1,False,0.05
123,4,True,2,ESHOCK_08_LOC1,False,0.05
121,4,True,2,ESHOCK_08_LOC1,False,0.05
102,4,True,2,ESHOCK_08_LOC1,False,0.05
113,4,True,2,ESHOCK_08_LOC1,False,0.05
97,4,True,2,ESHOCK_08_LOC1,False,0.05
101,4,True,2,ESHOCK_08_LOC1,False,0.05
106,4,True,2,ESHOCK_08_LOC1,False,0.05
105,4,True,2,ESHOCK_08_LOC1,False,0.05
104,4,True,2,ESHOCK_08_LOC1,False,0.05
100,-1,False,3,ESHOCK_08_LOC1,False,0.05
114,-1,False,3,ESHOCK_08_LOC1,False,0.05
117,-1,False,3,ESHOCK_08_LOC1,False,0.05
118,-1,False,3,ESHOCK_08_LOC1,False,0.05
120,-1,False,3,ESHOCK_08_LOC1,False,0.05
122,-1,False,3,ESHOCK_08_LOC1,False,0.05
124,-1,False,3,ESHOCK_08_LOC1,False,0.05
103,-1,False,3,ESHOCK_08_LOC1,False,0.05
109,-1,False,4,ESHOCK_08_LOC1,False,0.05
108,-1,False,4,ESHOCK_08_LOC1,False,0.05
116,-1,False,4,ESHOCK_08_LOC1,False,0.05
110,-1,False,4,ESHOCK_08_LOC1,False,0.05
156,-1,False,0,ESHOCK_09_LOC1,False,0.05
176,-1,False,0,ESHOCK_09_LOC1,False,0.05
