ensemble_orig,size,average_degree,average_weight,normalized_cut_size,internal_density,cut_size,conductance,edge_expantion,average_degree_p,average_weight_p,normalized_cut_size_p,conductance_p,edge_expantion_p,ensemble,session_name,shuffle,bin_width
0,3,2.8958461288884423,0.7239615322221106,0.7828785596532559,1.4479230644442211,1.5143097256291798,0.5243791869787849,0.7571548628145899,0.05,0.35,0.05,0.15,0.3,-1,ESHOCK_03_LOC1,False,1
1,2,1.3735045950609448,0.6867522975304724,0.7828785596532559,1.3735045950609448,1.5143097256291798,0.5243791869787849,0.7571548628145899,0.8,0.4,0.05,0.15,0.3,-1,ESHOCK_03_LOC1,False,1
0,4,2.35975043766564,0.3932917396109401,0.9101193544078626,0.7865834792218801,13.24284661245383,0.7372558971737593,3.3107116531134575,1.0,1.0,1.0,1.0,0.9875,-1,ESHOCK_04_LOC1,False,1
1,10,8.743123996868423,0.48572911093713445,0.712676175911152,0.9714582218742691,15.734496671120212,0.44800896319047645,1.5734496671120213,0.0,0.59375,0.08333333333333334,0.125,0.046875,3,ESHOCK_04_LOC1,False,1
2,2,0.42127514991331716,0.21063757495665858,0.853377536721947,0.42127514991331716,2.0699650752430965,0.8308974198235469,1.0349825376215482,1.0,1.0,1.0,1.0,0.0,-1,ESHOCK_04_LOC1,False,1
3,3,2.2940031672204975,0.5735007918051245,0.2979935676763762,1.1470015836102487,1.3573220464437026,0.2828740316759354,0.45244068214790084,1.0,0.5625,0.0,0.0,0.0,5,ESHOCK_04_LOC1,False,1
4,4,1.861343491638212,0.31022391527303533,0.6953551471734116,0.6204478305460707,6.146340192735656,0.6227908874012542,1.536585048183914,1.0,1.0,0.08333333333333334,0.9791666666666667,0.04166666666666667,6,ESHOCK_04_LOC1,False,1
0,6,2.472806975789414,0.2853238818218555,0.5897659948247427,0.4945613951578828,5.394947737061687,0.42104054588221823,0.8991579561769479,0.36796536796536794,0.6233766233766234,0.06493506493506494,0.38961038961038963,0.5844155844155845,-1,ESHOCK_06_LOC1,False,1
1,3,1.1270021283207916,0.2817505320801979,0.5422596951108332,0.5635010641603958,1.6988040509711677,0.5012245656551227,0.5662680169903892,0.922077922077922,0.6233766233766234,0.0,0.4935064935064935,0.0,8,ESHOCK_06_LOC1,False,1
2,4,2.578411201510259,0.4297352002517098,0.6129754927366847,0.8594704005034197,4.718700763318016,0.4778178010256777,1.179675190829504,0.3571428571428571,0.2272727272727273,0.11363636363636365,0.4935064935064935,0.8571428571428571,-1,ESHOCK_06_LOC1,False,1
3,5,2.154674244788619,0.26933428059857734,0.4034731369544083,0.5386685611971548,2.6644895465237592,0.33094417821878924,0.5328979093047519,0.5194805194805195,0.6233766233766234,0.0,0.19480519480519481,0.0,10,ESHOCK_06_LOC1,False,1
4,4,2.6917590236034497,0.44862650393390835,0.6494827626942332,0.8972530078678166,5.2751889775043725,0.4949182827968075,1.3187972443760931,0.3571428571428571,0.2272727272727273,0.2987012987012987,0.4935064935064935,0.8571428571428571,-1,ESHOCK_06_LOC1,False,1
0,11,5.446796642511003,0.33285979482011685,0.7788518248694171,0.5446796642511003,1.5992196050029914,0.7281740095379045,0.7996098025014957,0.0,0.9272727272727272,0.6181818181818182,0.9636363636363636,0.09090909090909091,-1,ESHOCK_07_LOC1,False,1
1,2,0.5969856756796411,0.29849283783982056,0.7788518248694171,0.5969856756796411,1.5992196050029914,0.7281740095379045,0.7996098025014957,1.0,0.9272727272727272,0.6181818181818182,0.9636363636363636,0.09090909090909091,-1,ESHOCK_07_LOC1,False,1
0,11,10.295124789794839,0.514756239489742,0.5049527586136062,1.0295124789794838,19.912446051693273,0.2601722286526395,1.8102223683357521,0.0,0.41071428571428575,0.0,0.0,0.0,2,ESHOCK_08_LOC1,False,1
1,9,3.2077380084407148,0.300725438291317,0.5424822388994944,0.40096725105508935,11.905100638986623,0.45197934849577703,1.3227889598874025,0.7976190476190477,0.9880952380952381,0.0,0.07142857142857142,0.0,3,ESHOCK_08_LOC1,False,1
2,10,8.620272290867309,0.47890401615929484,0.3321968662738927,0.9578080323185898,11.906878239487916,0.21645626738396886,1.1906878239487917,0.0,0.41071428571428575,0.0,0.0,0.0,4,ESHOCK_08_LOC1,False,1
0,15,8.256431122683653,0.29770785298138175,0.6390599309863164,0.5897450801916895,38.53070995400274,0.38356592742705153,2.568713996933516,0.03488372093023256,1.0,0.0,0.0,0.0,5,ESHOCK_09_LOC1,False,1
1,5,1.4796325541098814,0.20550452140415018,0.7429208374000722,0.36990813852747034,8.872171574652342,0.7057507794118741,1.7744343149304682,1.0,1.0,0.0,0.6744186046511628,0.0,6,ESHOCK_09_LOC1,False,1
2,16,12.438690265411566,0.4403076200145687,0.6228032183040587,0.8292460176941044,38.727891332566145,0.34264829957120385,2.420493208285384,0.0,0.8023255813953487,0.0,0.0,0.0,7,ESHOCK_09_LOC1,False,1
0,1,0.0,,1.027950975569145,,0.2326817843608726,1.0,0.2326817843608726,1.0,0.0,1.0,1.0,0.234375,-1,hamilton_10,False,1
1,1,0.0,,1.003223040041252,,0.02749198013274012,1.0,0.02749198013274012,1.0,0.0,1.0,1.0,0.0,-1,hamilton_10,False,1
2,4,3.698861837292066,0.616476972882011,0.8542423941994657,1.232953945764022,0.5116172501063506,0.7895572004547831,0.12790431252658765,0.0,0.14583333333333334,1.0,1.0,0.10416666666666667,-1,hamilton_10,False,1
3,1,0.0,,1.004777637630497,,0.040689379207653704,1.0,0.040689379207653704,1.0,0.0,1.0,1.0,0.05208333333333333,-1,hamilton_10,False,1
