neuron_id,lag,time,cc,session_name,bin_width
6,0,0.0,0.07176637490613903,ESHOCK_03_LOC1,0.05
8,0,0.0,0.07176637490613903,ESHOCK_03_LOC1,0.05
9,0,0.0,0.010406489763762941,ESHOCK_04_LOC1,0.05
17,0,0.0,0.021850945777017666,ESHOCK_04_LOC1,0.05
22,0,0.0,-0.038402214609666516,ESHOCK_04_LOC1,0.05
27,0,0.0,0.0002150877591296473,ESHOCK_04_LOC1,0.05
33,0,0.0,0.01090256038266777,ESHOCK_04_LOC1,0.05
34,0,0.0,0.0007396638976130774,ESHOCK_04_LOC1,0.05
38,0,0.0,-0.019764257214037555,ESHOCK_04_LOC1,0.05
41,0,0.0,-0.013798285738640174,ESHOCK_04_LOC1,0.05
42,0,0.0,0.014199891209552942,ESHOCK_04_LOC1,0.05
45,0,0.0,0.023398640753523707,ESHOCK_04_LOC1,0.05
46,0,0.0,0.02060803192939255,ESHOCK_04_LOC1,0.05
51,0,0.0,0.0016156624327422688,ESHOCK_06_LOC1,0.05
54,0,0.0,-0.005858995630471204,ESHOCK_06_LOC1,0.05
55,0,0.0,-0.005389327412194459,ESHOCK_06_LOC1,0.05
58,0,0.0,0.0023756420276035916,ESHOCK_06_LOC1,0.05
59,0,0.0,-0.004808937601853739,ESHOCK_06_LOC1,0.05
60,0,0.0,-0.004676708217050616,ESHOCK_06_LOC1,0.05
69,0,0.0,0.008703423729584246,ESHOCK_06_LOC1,0.05
71,0,0.0,0.0007241054762041636,ESHOCK_06_LOC1,0.05
73,0,0.0,-0.003924746063727326,ESHOCK_06_LOC1,0.05
77,0,0.0,0.008706175409505289,ESHOCK_06_LOC1,0.05
82,0,0.0,0.007544608981272279,ESHOCK_07_LOC1,0.05
84,0,0.0,0.055232463184147894,ESHOCK_07_LOC1,0.05
86,0,0.0,0.07285462661731201,ESHOCK_07_LOC1,0.05
89,0,0.0,0.046929740854937514,ESHOCK_07_LOC1,0.05
90,0,0.0,0.025920602817514054,ESHOCK_07_LOC1,0.05
